a	cmavo			   	A      	логический союз: последующая мысль в sumti: 'или'
fo'u	cmavo			   	KOhA4      	pro-sumti: он/она/оно/они #10 (указывается с помощью goi)
fu	cmavo			   	FA      	метка места sumti: отмечает 5-ое sumti-место
fu'a	cmavo			   	FUhA      	флажок оператора польской математического выражения (mex)
fu'au	experimental cmavo			   	UI3      	междометие-рассуждение: к счастью/по счастливой случайности - не относясь к счастливым/несчастливым случайностям - к несчастью	Выражает удачу, фортуну, счастливый успех/несчастье, беду, злоключение с точки зрения (и соответственно для) говорящего. {dai} используется для выражения того же смысла применительно к слушателю. См. также {funca}.
fu'e	cmavo			   	FUhE      	начинает длинный охват индикатора
fu'i	cmavo			   	UI5      	модификатор междометия: простой - сложный	См. также {frili}.
fu'inai	cmavo-compound			   	UI*5      	модификатор междометия: простой - сложный	См. также {frili}.
fu'o	cmavo			   	FUhO      	окончание длинной области охвата указателей; закрывает область охвата всех активных указателей
fu'u	cmavo			   	VUhU0      	n-арный математический оператор: оператор опускаемого/неуказываемого математического выражения (mex)
fy	cmavo			   	BY2      	буквенный символ для f
ga	cmavo			   	GA      	логический союз: предваряющая мысль (для любых вариантов, кроме внутри tanru): "или" (с gi)
ga'a	cmavo			   	BAI      	модальный предлог от zgana, 1-ое место                            для оборевателя ... ; имеющее свидетельство (кого), ...
ga'e	cmavo			   	BY1      	сдвиг буквенного символа в верхний регистр
gai	cmavo			   	PA2      	цифра/число: шестнадцатиричная цифра C (соответствует десятичной 12) [двенадцать]
ga'i	cmavo			   	UI5      	модификатор междометия: надменность - равного ранга - кротость/мягкость/смиренность; используется с кем-то рангом ниже/равного ранга/рангом ниже соответственно	См. также {gapru}, {cnita}.
ga'icu'i	cmavo-compound			   	UI*5      	модификатор междометия/honorific: надменность - равного ранга - кротость; используется с кем-то равного ранга
ga'inai	cmavo-compound			   	UI*5      	модификатор междометия/honorific: hauteur - equal rank - meekness; used with one of higher rank
ganai	cmavo-compound			   	GA*      	логический союз: предваряющая мысль (для любых вариантов, кроме внутри tanru): "условие/только если" (с gi)
ga'o	cmavo			   	GAhO      	маркер интервала с закрытыми скобками; модифицирует интервалы в не-логических союзах; включает границы интервала
gau	cmavo			   	BAI      	модальный предлог от gasnu, 1-ое место агент/метка падежа действующего лица       с активным агентом в виде, (кого)
ga'u	cmavo			   	FAhA2      	отношение/направление интервала местоположения; кверху/к верху от (чего) ...
ge	cmavo			   	GA      	логический союз: предваряющая мысль (для любых вариантов, кроме внутри tanru): "и" (с gi)
ge'a	cmavo			   	VUhU0      	математический оператор: null-оператор (математический, mex) (используется в операторах с более,чем 2-мя аргументами)
ge'e	cmavo			   	UI6      	междометие: опускаемая/неуказанная/не-специфическая эмоция; нет определённого чувства
gei	cmavo			   	VUhU2      	тринарный математический оператор: на порядок/значение/основание; [b * (c в степени a)]
ge'i	cmavo			   	GA      	логический союз: предваряющая мысль (для любых вариантов, кроме внутри tanru): "вопрос относительно связи" (с gi)
ge'o	cmavo			   	BY1      	сдвигает буквенные символы в греческий алфавит
ge'u	cmavo			   	GEhU      	опускаемый терминатор: оканчивает придаточную фразу из серии GOI; обычно опускаем в несоставных фразах
gi	cmavo			   	GI      	логический союз: предваряющая мысль (для любых вариантов, кроме внутри tanru): срединный маркёр связи
gi'a	cmavo			   	GIhA      	логический союз: bridi-хвостовая последующая мысль: "или"
gi'e	cmavo			   	GIhA      	логический союз: bridi-хвостовая последующая мысль: "и"
gi'enai	cmavo-compound			   	GIhA*      	логический союз: bridi-хвостовая последующая мысль: "x, но не y"
gi'i	cmavo			   	GIhA      	логический союз: bridi-хвостовая последующая мысль: "вопрос относительно связи"
gi'o	cmavo			   	GIhA      	логический союз: bridi-хвостовая последующая мысль: "двойное условие/iff/если-и-только-если"
gi'onai	cmavo-compound			   	GIhA*      	логический союз: bridi-хвостовая последующая мысль: "исключающее или"; латинское 'aut'
gi'u	cmavo			   	GIhA      	логический союз: bridi-хвостовая последующая мысль: "так-или-не-так"
go	cmavo			   	GA      	логический союз: предваряющая мысль (для любых вариантов, кроме внутри tanru): "двойное условие/iff/если-и-только-если" (с gi)
go'a	cmavo			   	GOhA      	pro-bridi: повторяет недавнее bridi (обычно не из 2 последних)
go'e	cmavo			   	GOhA      	pro-bridi: повторяет предпоследнее bridi
goi	cmavo			   	GOI      	назначение sumti; используется, чтобы назначить pro-sumti из серии ko'a/fo'a; латинское 'sive'
go'i	cmavo			   	GOhA      	pro-bridi: предшествующее bridi; в ответ на вопросы типа да/нет, повторяет заявление, означает "да"
go'ira'o	cmavo-compound			   	GOhA*      	pro-bridi: предшествующее bridi; повторяет заявление как истинное, обновляя изменения для говорящего/слушателя
gonai	cmavo-compound			   	GA*      	логический союз: предваряющая мысль (для любых вариантов, кроме внутри tanru): "исключающее или" (с gi); латинское 'aut'
go'o	cmavo			   	GOhA      	pro-bridi: повторяет следующую bridi, обычно следующую
go'u	cmavo			   	GOhA      	pro-bridi: повторяет удалённую прошлую bridi
gu	cmavo			   	GA      	логический союз: предваряющая мысль (для любых вариантов, кроме внутри tanru): "так-или-не-так" (с gi)
gu'a	cmavo			   	GUhA      	логический союз: предваряющая мысль внутри tanru: "или" (с gi)
gu'anai	cmavo-compound			   	GUhA*      	логический союз: предваряющая мысль внутри tanru: "условие/только если" (с gi)
gu'e	cmavo			   	GUhA      	логический союз: предваряющая мысль внутри tanru: "и" (с gi)
gu'i	cmavo			   	GUhA      	логический союз: предваряющая мысль внутри tanru: "вопрос относительно связи" (с gi)
gu'o	cmavo			   	GUhA      	логический союз: предваряющая мысль внутри tanru: "двойное условие/iff/если-и-только-если" (с gi)
gu'onai	cmavo-compound			   	GUhA*      	логический союз: предваряющая мысль внутри tanru: "исключающее или" (с gi); латинское 'aut'
gu'u	cmavo			   	GUhA      	логический союз: предваряющая мысль внутри tanru: "так-или-не-так" (с gi)
gy	cmavo			   	BY2      	буквенный символ для g
i	cmavo			   	I      	связка предложений/продолжение; продолжение предложений на ту же тему; обычно опускаемо для новичков
ia	cmavo			   	UI1      	междометие: вера - скептицизм - неверие	См. также {krici}, {jinvi}.
i'a	cmavo			   	UI1      	междометие: принятие - порицание/упрек/обвинение/осуждение/неодобрение	См. также {nalna'e}, {nalpro}, {no'epro}, {nalzugjdi}.; выражает одобрительное отношение говорящего к высказываемому. Эмоции: одобрение/признание/согласие/удовлетворение; в отличие от {i'e}, отношение к высказываемому может выражаться пассивным, сторонним, некомпетентным лицом
iacu'i	cmavo-compound			   	UI*1      	междометие: вера - скептицизм - неверие	См. также {krici}, {jinvi}.
ianai	cmavo-compound			   	UI*1      	междометие: вера - скептицизм - неверие	См. также {krici}, {jinvi}.
i'anai	cmavo-compound			   	UI*1      	междометие: принятие - порицание/упрек/обвинение/осуждение/неодобрение	См. также {nalna'e}, {nalpro}, {no'epro}, {nalzugjdi}.; выражает одобрительное отношение говорящего к высказываемому. Эмоции: одобрение/признание/согласие/удовлетворение; в отличие от {i'e}, отношение к высказываемому может выражаться пассивным, сторонним, некомпетентным лицом
ibu	bu-letteral			   	BY*      	буквенный символ для i
ie	cmavo			   	UI1      	междометие: согласие - несогласие	См. также {tugni}.
i'e	cmavo			   	UI1      	междометие: одобрение - отсутствие одобрения - порицание	См. также {zanru}.; выражает разрешающее/разрешительное/подтвердительное отношение говорящего к высказываемому. Эмоции: разрешение/подтверждение/одобрение/похвала В отличие от {.i'a}, {.i'e} выражает отношение лица, компетентного и/или уполномоченного в высказываемом, играющего важную роль, от которого что-либо зависит непосредственно
i'ecu'i	cmavo-compound			   	UI*1      	междометие: одобрение - отсутствие одобрения - порицание	См. также {zanru}.
ienai	cmavo-compound			   	UI*1      	междометие: согласие - несогласие	См. также {tugni}.
i'enai	cmavo-compound			   	UI*1      	междометие: одобрение - отсутствие одобрения - порицание	См. также {zanru}.
ii	cmavo			   	UI1      	междометие: страх - безопасность	См. также {terpa}, {snura}.
i'i	cmavo			   	UI1      	междометие: чувство единства - уединённость/приватность	См. также {kansa}, {gumna}, {sivni}, {sepli}.
iinai	cmavo-compound			   	UI*1      	междометие: страх - безопасность	См. также {terpa}, {snura}.
i'inai	cmavo-compound			   	UI*1      	междометие: чувство единства - уединённость/приватность	См. также {kansa}, {gumna}, {sivni}, {sepli}.
ija	cmavo-compound			   	JA*      	логический союз: последующая мысль в предложении: "или"
ijanai	cmavo-compound			   	JA*      	логический союз: последующая мысль в предложении: "(предыдущее предложение) если это предложение"
ije	cmavo-compound			   	JA*      	логический союз: последующая мысль в предложении: "и"
ije'i	cmavo-compound			   	JA*      	логический союз: последующая мысль в предложении: "вопрос относительно связи"
ijenai	cmavo-compound			   	JA*      	логический союз: последующая мысль в предложении: "x, но не y"
ijo	cmavo-compound			   	JA*      	логический союз: последующая мысль в предложении: "двойное условие/iff/если-и-только-если"
ijonai	cmavo-compound			   	JA*      	логический союз: последующая мысль в предложении: "исключающее или"; латинское 'aut'
iju	cmavo-compound			   	JA*      	логический союз: последующая мысль в предложении: "так-или-не-так"
inaja	cmavo-compound			   	JA*      	логический союз: последующая мысль в предложении: "условие/только если"
io	cmavo			   	UI1      	междометие: уважение - неуважение	См. также {sinma}.
i'o	cmavo			   	UI1      	междометие: высокая оценка/признательность - зависть	См. также {ckire}, {jilra}.
ionai	cmavo-compound			   	UI*1      	междометие: уважение - неуважение	См. также {sinma}.
i'onai	cmavo-compound			   	UI*1      	междометие: высокая оценка/признательность - зависть	См. также {ckire}, {jilra}.
iu	cmavo			   	UI1      	междометие: любовь - нет любви - ненависть	См. также {prami}.
i'u	cmavo			   	UI1      	междометие: осведомлённость - загадочность	См. также {slabu}, {nalni'o}, {kufra}.
iucu'i	cmavo-compound			   	UI*1      	междометие: любовь - нет любви - ненависть	См. также {prami}.
iunai	cmavo-compound			   	UI*1      	междометие: любовь - нет любви - ненависть	См. также {prami}.
i'unai	cmavo-compound			   	UI*1      	междометие: осведомлённость - загадочность	См. также {slabu}, {nalni'o}, {kufra}.
ja	cmavo   	-jav-		   	JA      	логический союз: последующая мысль внутри tanru: "или"
ja'a	cmavo			   	NA      	логически подтверждает bridi; область действия - bridi целиком
ja'ai	experimental cmavo			   	NAI      	подтверждает последнее слово: присоединяется к cmavo, чтобы подтвердить их; отрицает наличие nai-отрицания, где применимо.	Предложено автором Mark Shoulson в 1999 году как антоним к  {nai}. По аналогии с парами {na}/{ja'a}, {na'e}/{je'a} и {na'i}/{jo'a}.
ja'e	cmavo			   	BAI      	модальный предлог от jalge, 1-ое место                            в результате; поэтому в результате, ...
ja'ei	experimental cmavo			   	JAI      	jai эквивалент la'e	tu'a:jai::la'e:ja'ei. Поэтому ko'a ja'ei broda равнозначно la'e ko'a broda
ja'enai	cmavo-compound			   	BAI*      	модальный предлог от jalge, 1-ое место (причина события)             тем не менее в результате, ...
jai	cmavo   	-jax-		   	JAI      	превращает место интервального/модального (имеющего метку) слова в 1-ое место; 1-ое место перемещается в добавочное FA-место (fai)
ja'i	cmavo			   	BAI      	модальный предлог от javni, 1-ое место (согласно стандарту 1)            правильно, дисциплинированно; согласно правилу ...
jai'a	experimental cmavo			   	JAIhA      	грамматически преобразует LAhE в SE; семантически результат помечает x_1 от selbri как являющийся LAhE от предоставленного x_1. Может быть преобразован в отличные x_1 места с помощью SE.	См. также {jai} в смысле TAG (метки). Обратите внимание, что {jai} в не-TAG смысле - это то же самое, что и jai'a tu'a. Пример использования: lo tadni cu jai'a lu'o sruri lo dinju gi'e krixa <-> loi tadni cu sruri lo dinju gi'e jai'a lu'a krixa <-> loi tadni cu sruri lo dinju .ije lu'a lo go'i cu krixa
jaica	cmavo-compound			   	SE*      	перемещает предлог (sumtcita), обозначающий временной интервал в 1-ое место bridi; предыдущее 1-ое место перемещается на дополнительное место, доступное с помощью fai
jaigau	cmavo-compound			   	SE*      	делает 1-ое место bridi агентом; предыдущее 1-ое место перемещается на дополнительное место, доступное с помощью fai
jaivi	cmavo-compound			   	SE*      	перемещает предлог (sumtcita), обозначающий местоположение в 1-ое место bridi; предыдущее 1-ое место перемещается на дополнительное место, доступное с помощью fai
ja'o	cmavo			   	UI2      	междометие-свидетельство: я заключаю/делаю вывод	См. также {selni'i}, {ni'ikri}.
jau	cmavo			   	PA2      	цифра/число: шестнадцатиричная цифра D (соответствует десятичной 13) [тринадцать]
je	cmavo   	-jev-   	-jve-	   	JA      	логический союз: последующая мысль внутри tanru: "и"
je'a	cmavo			   	NAhE      	скалярное подтверждение; отрицает скалярное отрицание: В самом деле! Впрямь!
je'ai	experimental cmavo			   	NAhE      	NAhE вопрос.
je'e	cmavo			   	COI      	звательная частица: роджер/принято/подтверждаю получение - неполучение; используется, чтобы признавать получение предложений и благодарностей
je'enai	cmavo-compound			   	COI*      	звательная частица: роджер/принято/подтверждаю получени - неполучение; я не расслышал вас
jei	cmavo   	-jez-		   	NU      	абстрактор: абстракция значения истинности; x_1 это значение истинности данной [bridi] в эпистемологии x_2
je'i	cmavo			   	JA      	логический союз: последующая мысль внутри tanru: "вопрос относительно связи"
jenai	cmavo-compound			   	JA*      	логический союз: последующая мысль внутри tanru: "x, но не y"
je'o	cmavo			   	BY1      	сдвигает буквенные символы в еврейский алфавит
je'u	cmavo			   	UI3      	междометие-рассуждение: истина - ложь	См. также {jetnu}.
je'unai	cmavo-compound			   	UI*3      	междометие-рассуждение: истина - ложь	См. также {jetnu}.
ji	cmavo			   	A      	логический союз: последующая мысль в sumti: "вопрос относительно связи"
ji'a	cmavo			   	UI3b      	междометие-рассуждение: дополнительно, тоже (вдобавок)	См. также {jmina}.
ji'e	cmavo			   	BAI      	модальный предлог от jimte, 1-ое место                            ограниченно/лимитированно; имея пределом, ...
ji'i	cmavo			   	PA4      	цифра/число: приблизительно/примерно/около (по умолчанию типичное значение исходя из данного контекста) (число); если идет в начале числа, то означает, что всё число приблизительное (неточное). Если идет в середине числа, то означает, что все цифры перед ним точные, а следующие — приблизительные. Если идет в конце числа, то означает, что число было округлено. Сам по себе (вне цифр) означает "приблизительная типичная величина"
ji'ima'u	cmavo-compound			   	PA*      	округляемое вверх (присоединяется после строки из цифр и обозначает округлённое значение)
ji'ini'u	cmavo-compound			   	PA*      	округляемое вниз (присоединяется после строки из цифр и обозначает округлённое значение)
ji'o	cmavo			   	BAI      	модальный предлог от jitro, 1-ое место (контролирует)                  управляемо/контролируемо; под руководством ..., (кого)
ji'u	cmavo			   	BAI      	модальный предлог от jicmu, 1-ое место (допущения);             учитывая то, что/с учётом того, что/если ...; основанный на, ...
jo	cmavo   	-jov-		   	JA      	логический союз: последующая мысль внутри tanru: "двойное условие/iff/если-и-только-если"
jo'a	cmavo			   	UI3a      	междометие-рассуждение: металингвитстическое подтверждение	См. также {drani}.
jo'e	cmavo   	-jom-		   	JOI      	не-логический союз: объединение множеств
joi	cmavo   	-jol-   	-joi-	   	JOI      	не-логический союз: смешивающий союз; "и", означающее "смешанно вместе", "образуя массу"
jo'i	cmavo			   	JOhI      	объединяет операнды математических выражений (mex) в матрицу
joibu	bu-letteral			   	BY*      	буквенный символ: знак "амперсанд"; особенно используется для обозначения смешанной связки
jonai	cmavo-compound			   	JA*      	логический союз: последующая мысль внутри tanru: "исключающее или"; латинское 'aut'
jo'o	cmavo			   	BY1      	сдвигает буквенные символы в арабский алфавит
jo'u	cmavo   	-jo'u-		   	JOI      	не-логический союз: вместе/совместно/сообща/в совокупности/наряду с (несмешанно)
ju	cmavo   	-juv-		   	JA      	логический союз: последующая мысль внутри tanru: "так-или-не-так"
ju'a	cmavo			   	UI2      	междометие-свидетельство: я заявляю - (по умолчанию) опускаемое/не какое-либо особенное основание	См. также {xusra}.
ju'e	cmavo			   	JOI      	нечёткий не-логический союз: аналогичен простому ".i"
ju'ei	experimental cmavo			   	JUhEI      	разделитель bridi с узкой областью охвата; аналогичен {.i}, но не завершает при этом абстракцию или придаточное предожение.	'nu broda ju'ei brode' эквивалентно 'nu ju'e gi broda gi brode'. Аналогично тому, как 'ko'a noi broda ju'ei brode' эквивалентно 'ko'a noi ju'e gi broda gi brode'.
ju'i	cmavo			   	COI      	звательная частица: внимательность - вольно - игнорируй меня
ju'icu'i	cmavo-compound			   	COI*      	звательная частица: внимательность - вольно - игнорируй меня
ju'inai	cmavo-compound			   	COI*      	звательная частица: внимательность - вольно - игнорируй меня
ju'o	cmavo			   	UI5      	модификатор междометия: уверенность - неуверенность - невозможность	См. также {birti}, {cumki}.
ju'ocai	cmavo-compound			   	UI*5      	модификатор междометия: интенсивная уверенность
ju'ocu'i	cmavo-compound			   	UI*5      	модификатор междометия: уверенность - неуверенность - невозможность	См. также {birti}, {cumki}.
ju'onai	cmavo-compound			   	UI*5      	модификатор междометия: уверенность - неуверенность - невозможность	См. также {birti}, {cumki}.
ju'opei	cmavo-compound			   	UI*6      	междометие: вопрос относительно уверенности
ju'u	cmavo			   	VUhU2      	бинарный математический оператор: основание системы счисления; [a интерпретируется по основанию b]
jy	cmavo			   	BY2      	буквенный символ для j
ka	cmavo   	-kam-		   	NU      	абстрактор: абстрактор свойства/качества (русские окончания -ость, ств(о)); x_1 - это качество/свойство, проявляемое [bridi] (чем)
ka'a	cmavo			   	BAI      	модальный предлог от klama, 1-ое место                            к которому движется, ...
ka'ai	experimental cmavo			   	BAI      	модальный предлог от kansa, 1-ое место; с ...(кем/чем)/в сопровождении ...(кого/чего)	См. также {kansa}
ka'e	cmavo			   	CAhA      	модальный аспект: свойственно/врождённо/природно способный на; возможно, нереализовано
kai	cmavo			   	BAI      	модальный предлог от ckaji, 1-ое место                            характеризуя, ...
ka'i	cmavo			   	BAI      	модальный предлог от krati, 1-ое место                            представленный ..., (кем/чем)
ka'o	cmavo			   	PA5      	цифра/число: мнимое i, мнимая единица; квадратный корень из -1 (если идет без других цифр); служит также для отделения вещественной части от мнимой в представлении комплексных чисел
kau	cmavo			   	UI3a      	междометие-рассуждение: помечает слово, служащее фокусом непрямого вопроса: "Я знаю, КТО пошёл в магазин"
ka'u	cmavo			   	UI2      	междометие-свидетельство: я знаю согласно культуре (миф или обычай)	См. также {kluju'o}.
ke	cmavo   	-kem-		   	KE      	начинает группирование tanru, и т.д.; ... тип  ... (чего); отменяет левое группирование tanru по умолчанию
ke'a	cmavo			   	KOhA7      	pro-sumti: sumti в придаточном (объект или придаточное предложение)
ke'e	cmavo   	-kep-   	-ke'e-	   	KEhE      	опускаемый терминатор: конец отмены левой группировки tanru по умолчанию (обычно опускаемо)
kei	cmavo   	-kez-		   	KEI      	опускаемый терминатор: конец bridi-абстракции (обычно опускаемый)
ke'i	cmavo			   	GAhO      	маркёр интервала с открытыми скобками; модифицирует интервалы в не-логических союзах; исключает границы интервала
ke'o	cmavo			   	COI      	звательная частица: пожалуйста,повтори
ke'u	cmavo			   	UI3      	междометие-рассуждение: повторяя - продолжая	См. также {refbasna}, {krefu}, {rapli}, {velde'a}.
ke'unai	cmavo-compound			   	UI*3      	междометие-рассуждение: повторяя - продолжая	См. также {refbasna}, {krefu}, {rapli}, {velde'a}.
ki	cmavo			   	KI      	интервал/модальное слово: устанавливает/использует время по умолчанию; устанавливает новый открытый базис охвата пространства/времени/модальности/формы
ki'a	cmavo			   	UI6      	междометный вопрос: смущение относительно чего-либо сказанного	См. также {cfipu}, {kucli}.
ki'ai	experimental cmavo			   	COI2      	Преобразует следующую cmevla или zoi-цитату в междометие/восклицание специально для данного случая	См. также {sa'ei}, {ci'oi}, {tai'i}.
ki'anai	cmavo-compound			   	UI*6      	не-вопрос: понимание чего-либо сказанного
ki'e	cmavo			   	COI      	звательная частица: спасибо - не благодарю тебя
ki'enai	cmavo-compound			   	COI*      	звательная частица: спасибо - не благодарю тебя
ki'i	cmavo			   	BAI      	модальный предлог от ckini, 1-ое место (имея отношение к)               в отношении/по отношению к; как отношение к, ...
ki'o	cmavo			   	PA3      	цифра/число: запятая чисел (разделитель тысяч); тысячи; отделяет группы цифр (обычно по три) в одном числе друг от друга (используется для удобства). Если после [ki'o] других цифр нет, то считается обозначающим тысячу (добавляет три нуля в конце)
ki'u	cmavo			   	BAI      	модальный предлог от krinu, 1-ое место (обоснованный... (чем))             обоснованно/оправданно; из-за обоснования, ...
ki'u ma	cmavo-compound			   	BAI*      	sumti-вопрос, спрашивающий насчёт рационального объяснение/обоснования; почему?
ki'unai	cmavo-compound			   	BAI*      	модальный предлог от krinu, 1-ое место                            несмотря на причину, ...
ko	cmavo			   	KOhA3      	pro-sumti: ты (императив, повелительное наклонение); сделай это верным для себя, слушателя
ko'a	cmavo			   	KOhA4      	pro-sumti: он/она/оно/они #1 (указывается с помощью goi)
ko'e	cmavo			   	KOhA4      	pro-sumti: он/она/оно/они #2 (указывается с помощью goi)
koi	cmavo			   	BAI      	модальный предлог от korbi, 1-ое место (имея гранью)              имея в качестве кромки/грани/края ..., (что)
ko'i	cmavo			   	KOhA4      	pro-sumti: он/она/оно/они #3 (указывается с помощью goi)
ko'o	cmavo			   	KOhA4      	pro-sumti: он/она/оно/они #4 (указывается с помощью goi)
ko'oi	experimental cmavo			   	UI6      	междометие-рассуждение: императив/повеление/повелительное наклонение/гортатив/настоятельное наклонение	``{ko}'' - это краткая форма от ''{do} {ko'oi}''; более широкий термин по сравнению с {au}, {a'o}, {e'o}, {e'u}, {e'a}, {ei}; См. также {minde}, {cpedu}, {curmi}, {pacna}, {stidi}, {djica}, {bilga}
ko'u	cmavo			   	KOhA4      	pro-sumti: он/она/оно/они #5 (указывается с помощью goi)
ku	cmavo			   	KU      	опускаемый терминатор: завершает описания/модальные слова, а также sumti-отрицания; часто опускаемо
ku'a	cmavo   	-kuz-		   	JOI      	не-логический союз: пересечение множеств
ku'e	cmavo			   	KUhE      	опускаемый терминатор: окончание математического выражения (mex), представляющим предваряющую мысль (польская запись); обычно опускаемо
ku'i	cmavo			   	UI3b      	междометие-рассуждение: однако/но/в отличие от этого	См. также {karbi}, {dukti}, {nalpanra}.
ku'iji'a	cmavo-compound			      		зато
ku'inai	cmavo-compound			   	UI*3b      	междометие-рассуждение: в соответствии с этим; ожидаемо, как и ожидалось	Используется, чтобы делать заключения о соответствующем сказанному раннее в отличие от {ku'i} - 'однако, но, в отличие от'
ku'o	cmavo			   	KUhO      	опускаемый терминатор: завершает придаточную фразу из серии NOI; всегда опускаема, но предпочтительна в сложных по структуре фразах
ku'u	cmavo			   	BAI      	модальный предлог от kulnu, 1-ое место,                            в культуре, ...
ky	cmavo			   	BY2      	буквенный символ для k
la	cmavo			   	LA      	именной описатель: тот, называемый ... /те, называемые ... ; в результате даёт имя (напр, имя собственное)
la'a	cmavo			   	UI3      	междометие-рассуждение: вероятность/правдоподобие - невероятность/неправдоподобие	См. также {lakne}.
la'anai	cmavo-compound			   	UI*3      	междометие-рассуждение: вероятность/правдоподобие - невероятность/неправдоподобие	См. также {lakne}.
la'e	cmavo			   	LAhE      	объект ...(чего, непрямого указателя, ссылки); превращает объект ссылающейся sumti непосредственно в саму sumti
la'edi'u	cmavo-compound			   	KOhA*      	pro-sumti: ссылка на последние высказывание; к примеру, состояние, описывающее: "ЭТО было весело"
la'ei	experimental cmavo			   	LA      	объединяет LA с DOI	используется для обращения к кому-то во втором лице по имени и использует это имя в то же время как sumti, то есть: {do} {doi} {la} {broda} эквивалентно la'ei {broda}
lai	cmavo			   	LA      	именной описатель: массив индивидов, именуемых ...
la'i	cmavo			   	LA      	именной описатель: множество тех, именуемых ...
la'o	cmavo			   	ZOI      	отграниченное не-ложбанское имя; получающаяся sumti-цитата рассматривается как имя
lau	cmavo			   	LAU      	2-словный буквенный символ/сдвиг: знак препинания (пунктуации) или специальный символ следует далее
la'u	cmavo			   	BAI      	модальный предлог от klani, 1-ое место (количество)                   измеряемое ...(чем); в количестве ..., (скольки)
la'u ma	cmavo-compound			   	BAI*      	sumti-вопрос, спрашивающий насчёт количества; как много?
le	cmavo			   	LE      	описательная частица (нет достоверности): этот (эти), описываемые как ...; иногда (но не всегда) применяется для ссылки на ранее упомянутые объекты/абстракции и т.о. эквивалентно lo bi'unai
le'a	cmavo			   	BAI      	модальный предлог от klesi, 1-ое место (скалярное множество)               (относящийся к) категории/разряду/классу, ...(какому)
le'ai	experimental cmavo			   	LEhAI      	замена недавнего ошибочного произнесённого текста	Конструкция {lo'ai} ... {sa'ai} ... {le'ai} просит слушателя заменить текст после {lo'ai} текстом после {sa'ai}.  Порядок {sa'ai} ... {lo'ai} ... {le'ai} также разрешается. Могут быть опущены одна или обе части. Когда опускаются обе части, слово {le'ai} само по себе означает, что была сделана ошибка, оставляя все детали выводимыми только из контекста. Также возможно присоединять слова группы SAI к конструкции le'ai: le'ai {dai} (или le'ai {da'oi} ko'a) означает, что кто-то другой сделал ошибку; le'ai {pei} спрашивает, сделал ли кто-то другой ошибку; а {sai}, {ru'e} и {cu'i} могуть быть использованы, что обозначить важность замены. Более того, le'ai {nai} может быть использовано, что явно отрицать ошибки, вместо того, чтобы признать их (сравни слово "sic").
ledo	cmavo-compound			   	LE*      	описательная частица владения/ассоциации: что-то/кто-то, твоё, описываемое как
le'e	cmavo   	-lem-		   	LE      	описательная частица (нет достоверности): стереотип (стандартизированное представление) об описываемых как ...
le go'i	cmavo-compound			   	KOhA*      	описательная pro-sumti: использует заново значение x_1 предыдущего bridi
lei	cmavo			   	LE      	описательная частица (нет достоверности): массив индивидов, описываемых как ...
le'i	cmavo			   	LE      	описательная частица (нет достоверности): множество описываемых как ...; обрабатывается как множество
le jaica	cmavo-compound			   	LE*      	описательная частица: помечает описание, извлекая место временного интервала описывающего bridi
le jaigau	cmavo-compound			   	LE*      	описательная частица: помечает описание, извлекая место деятельного агента из описывающего bridi
le jaivi	cmavo-compound			   	LE*      	описательная частица: помечает описание, извлекая место, обозначающее местоположение объекта в описывающемbridi
leko'a	cmavo-compound			   	LE*      	описательная частица владения/ассоциации: описываемое как ..., относящееся к этому 1-ому
lemi	cmavo-compound			   	LE*      	описательная частица владения/ассоциации: это, описываемое как, моё
lenu	cmavo-compound			   	LE*      	описывает специфическое событие: краткая форма записи сочетания {le nu}, идентичная ему в значении.	Добавлено в словарь по причине того, что обучающиеся часто ищут слово {lenu}, не осознавая, что это то же самое, что и {le} {nu}, и, не находя его, испытываают затруднения.
le'o	cmavo			   	UI5      	модификатор междометия: аггресивный - пассивный - защищающийся	См. также {gunta}, {bandu}.
le'ocu'i	cmavo-compound			   	UI*5      	модификатор междометия: аггресивный - пассивный - защищающийся	См. также {gunta}, {bandu}.
le'onai	cmavo-compound			   	UI*5      	модификатор междометия: аггресивный - пассивный - защищающийся	См. также {gunta}, {bandu}.
le sego'i	cmavo-compound			   	KOhA*      	описательная pro-sumti: использует заново значение x_2 предыдущего bridi
leta	cmavo-compound			   	LE*      	описательная частица владения/ассоциации: указательное выражение: относящийся к тому; нельзя использовать для 'ТОТ ...'
le tego'i	cmavo-compound			   	KOhA*      	описательная pro-sumti: использует заново значение x_3 предыдущего bridi
leti	cmavo-compound			   	LE*      	описательная частица владения/ассоциации: указательное выражение: относящийся к этому; нельзя использовать для 'ЭТОТ ...'
