arktik	cmevla			      	北冰洋
dunku	gismu   	-duk-   	-du'u-	      	x_1是紧张的/忧虑的/苦闷的/有压力的/痛苦的，由x_2引起	参见 {fengu}, {surla}.
dunli	gismu   	-dun-   	-du'i-	      	x_1与x_2是相同的/相等的/等量的，在性质/尺寸/数量x_3方面	在数量或性质上相同，并不需要两者具有同一性；参见：{du'i}, {satci}, {frica}, {simsa}, {mintu}.
dunra	gismu   	-dur-		      	x_1是冬天/冬季（寒冷的季节），属于年份x_2，地点x_3	参见 {citsi}, {crisa}, {critu}, {vensa}.
dzena	gismu   	-dze-		      	x_1是x_2的长辈/先辈，依据纽带/关系x_3	参见 {patfu}, {rirni}, {tamne}.
dzip	cmevla			      	南冰洋	注意不是“北”冰洋。
dzipo	gismu   	-zip-   	-zi'o-	      	x_1是关于南极洲文化/所在地/地理特性等的事物，在x_2方面	参见 {ketco}, {friko}, {sralo}, {terdi}.
facki	gismu   	-fak-   	-fa'i-	      	x_1发现/找到x_2（du'u），关于主题/物体x_3；x_1找到物体x_3	参见 {cirko}, {djuno}, {jijnu}, {smadi}, {sisku}.
fadni	gismu   	-fad-		      	x_1（成员）是普通的/典型的/常见的，在性质x_2上（ka），在成员集合x_3中	x_2是集合x_3中普偏的/典型的性质；也指：平凡的/平庸的/庸俗的；x_3是完整集合；参见 {cafne}, {rirci}, {kampu}, {lakne}, {tcaci}, {cnano}.
fagri	gismu   	-fag-		      	x_1是火/火焰，燃料为x_2，助燃物为x_3（默认为氧气/空气）	参见 {jelca}, {sacki}.
falnu	gismu   	-fan-		      	x_1是帆，收集驱动物质x_2，位于交通工具/载具x_3上	水轮={jacfanxi'u}；参见 {bloti}.
famti	gismu			      	x_1是x_2的叔辈的（阿姨/伯伯/舅舅等），基于关系/纽带x_3	参见 {bruna}, {mamta}, {mensi}, {patfu}, {rirni}, {tamne}.
fancu	gismu			      	x_1是函数，映射为定义域x_2到值域x_3，函数关系为x_4	参见 {mekso}, {bridi}.
fange	gismu			      	x_1是外来的/异域的/不熟悉的，对x_2来说，在性质x_3（ka）方面	参见 {cizra}, {jbena}, {ckini}.
fanmo	gismu   	-fam-   	-fa'o-	      	x_1是进程/事件x_2的终结/终点/结束；（不暗示进程/事件的完整度）	x_1是最终的/最后的/终点； x_1是x_2的末端/终点站； x_1是进程x_2的终止状态/最终状态；x_2止步于/终止于/被终结于x_1处 (= selfa'o)；参见 {krasi}, {cfari}, {mulno}, {sisti}, {denpa}, {jipno}, {kojna}, {traji}, {krasi}.
fanri	gismu			      	x_1是制造x_2的工厂/制造厂，使用制造材料x_3	参见 {molki}, {gundi}.
fanta	gismu			      	x_1阻止/停止/抑制/束缚事件x_2发生	参见 {pinfu}, {bandu}, {zunti}, {rinju}, {jimte}, {bapli}, {rivbi}.
fanva	gismu			      	x_1翻译文本/话语x_2至目标语言x_3，来自源语言x_4，得到翻译结果x_5	参见 {cusku}, {bangu}.
fanza	gismu   	-faz-		      	x_1（事件）干扰/打扰/烦扰x_2；x_1让x_2分心	也指：带来混乱；参见 {fengu}, {raktu}, {dicra}, {tunta}, {zunti}, {jicla}.
fapro	gismu   	-fap-   	-pro-	      	x_1反抗对手x_2/与对手x_2（人/力量，个体/团体）争斗，关于x_3	也指：抵抗；参见 {bandu}, {bradi}, {darlu}, {damba}, {jivna}, {lanxe}, {rivbi}, {sarji}, {xarnu}.
farlu	gismu   	-fal-   	-fa'u-	      	x_1落向x_2，由x_3开始，基于重力阱/参考系x_4	物体可以旋转下落，在推力作用下下落或在潮汐力影响下下落；（施事的）使/让……落下= {falcru}/{falri'a}；参见 {lafti}, {cpare}, {klama}, {sfubu}.
farna	gismu   	-far-   	-fa'a-	      	x_1是x_2（物体/事件）的方向，基于参考系x_3	x_2由x_3朝向x_1;参见 {zunle}, {pritu}, {galtu}, {gapru}, {cnita}, {dizlo}, {berti}, {snanu}, {stuna}, {stici}, {purci}, {balvi}, {lidne}.
farvi	gismu   	-fav-		      	x_1向x_2发展/进化，由x_3开始，经过阶段x_4	参见 {pruce}, {banro}, {makcu}, {ciste}, {cupra}, {ferti}.
fasnu	gismu   	-fau-		      	事件x_1发生；x_1是一个事件	参见 {fau}, {krefu}, {lifri}, {fatci}, {rapli}, {gasnu}, {zukte}, {banli}
fatci	gismu   	-fac-		      	在绝对意义上，x_1（du'u）是事实/真实	参见 {datni}, {jitfa}, {sucta}, {xanri}, {jetnu}, {fasnu}, {zasti}, {cfika}, {saske}.
fatne	gismu   	-fat-   	-fa'e-	      	序列x_1是与序列x_2反向的/颠倒的；物体x_1与物体x_2是互相颠倒的/反向的	也指：（某种意义上）对立的；参见 {fa'e}, {dukti}.
fatri	gismu   	-fai-		      	x_1是分散在x_2之间的，以份数x_3（x_2/x_3 fa'u）	也指：传播/扩展/分享/传播；施事的分散= {fairgau}/ {fairzu'e}；参见 {fa'u}, {fendi}, {preja}, {katna}, {tcana}.
febvi	gismu   	-feb-		      	x_1沸腾/达到沸点，在温度x_2，压强x_3下	沸腾（液体翻滚）= {febjicla}；参见 {dunja}, {lunsa}, {runme}.
femti	gismu   	-fem-		      	x_1是十的负一十五次方个/份[10^{-15}]x_2，在x_3方面（默认为计量单位）	参见 {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {centi}, {decti}, {dekto}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}
fendi	gismu   	-fed-		      	x_1分割/切分/分开x_2至各部分/组件/单元x_3，依靠方法/隔离物x_4	参见 {sepli}, {bitmu}, {fatri}, {dilcu}, {katna}, {frinu}.
fengu	gismu   	-feg-   	-fe'u-	      	x_1憤怒,对 x_2 ,由于 x_3 (行为/状态/属性).
fenki	gismu   	-fek-		      	x_1（行为/事件）是疯狂的/发狂的/无理智的/狂乱的，依据标准x_2	参见 {bebna}, {racli}, {xajmi}.
fenra	gismu   	-fer-   	-fe'a-	      	x_1是x_2上的裂缝/开裂/沟壑	参见 {kevna}, {cfila}, {jinto}.
fenso	gismu   	-fen-   	-fe'o-	      	x_1将材料x_2（个体/集合）缝合在一起，使用缝合工具x_3，缝合线x_4	x_2处若为集合，应当全部指明；参见 {cilta}, {jivbu}, {jorne}, {nivji}, {pijne}, {lasna}.
fepni	gismu   	-fep-   	-fei-	      	x_1是数量x_2的货币子单位（角/美分/戈比等），在货币系统x_3中	也指：芬尼，派萨，第纳尔等；x_1通常指价格/价值/花费；可以在x_4,x_5……位添加额外的二级，三级单位……；参见 {sicni}, {jdini}, {jdima}, {vecnu}, {rupnu}, {dekpu}, {gutci}, {minli}, {merli}, {bunda}, {kramu}.
fepri	gismu			      	x_1是x_2的肺	也指：x_1是有关于肺的；参见 {pambe}, {vasxu}.
ferti	gismu   	-fre-		      	x_1对x_2的生长/发展是肥沃的/丰饶的/有益的；x_1是富有成效的/多产的	也指：多产的（包括潜在的或已经表现出的生产力）；参见 {vanbi}, {sidju}, {rorci}, {farvi}, {banro}, {cange}.
festi	gismu   	-fes-		      	x_1是多余的产品，由行为/事件x_2导致	也指：屎/粪；浪费/造成多余= {fesygau}/{fesyzu'e}；参见 {xaksu}, {kalci}, {pinca}.
fetsi	gismu   	-fet-   	-fe'i-	      	x_1是女性的/雌性的/母的生物，属于品种/种类x_2，具有证明其为雌性的特征x_3（ka）	参见 {nakni}.
figre	gismu   	-fig-		      	x_1是无花果（树/果），属于品种/种类x_2	参见 {grute}.
filso	gismu   	-fis-		      	x_1是关于巴勒斯坦的文化/国家/语言等的事物，在x_2方面	参见 {jordo}, {xebro}.
finpe	gismu   	-fip-   	-fi'e-	      	x_1是鱼类，属于品种/种类x_2；可借指像鱼类的水生动物，如：鲸	参见 {danlu}.
finti	gismu   	-fin-   	-fi'i-	      	x_1 发明/创造/构造/创作x_2 , 为功能/目的x_3, 源自已有元素/主意x_4.
firca	experimental gismu			      	x_1调情x_2，通过行为x_3	参见{cinse}, {pamta'a}, {cinjikca}, {mletritra}, {gletu}
flalu	gismu   	-fla-		      	x_1是针对x_2问题、为保障或限制x_3的权益、在x_4条件下、由x_5制定的法律	参见：{javni}、{ritli}、{zekri}、{pulji}、{tinbe}
flani	gismu			      	x_1是笛/笛状的吹管乐器	参见 {zgike}.
flecu	gismu   	-fle-		      	x_1是x_2的流/河/流束，流向方向/目标x_3，来自方向/目标x_4	x_1是流动的x_2；x_2是指流动的气体/液体/流体； x_1奔流向x_3；奔流= {caifle}/{sukfle}；参见 {rirxe}, {senta}不暗示方向, {rinci}, {xampo}, {dikca}, {sakci}, {gapci}, {litki}, {ciblu}.
fliba	gismu   	-fli-		      	x_1失败于x_2（状态/事件）；x_1是一个失败者，在事件x_2中	困惑= {pesfli}, {jmifli}, {dafspufli}, {menfli},（某种意义上来说）；也指 x_2终止/停止，因为x_1失败；参见 {cfila}, {snada}, {srera}, {troci}, {sisti}, {ranji}, {denpa}, {bebna}, {zunti}.
flira	gismu   	-fir-		      	x_1是脸/面部的	参见 {sefta}, {stedu}, {crane}, {mebri}.
foldi	gismu   	-flo-   	-foi-	      	x_1是物质x_2的场；x_1是x_2构成的宽阔的区域	树林/森林= {ricfoi}，草场/草地= {sasfoi}，灌木林= {spafoi}/{cicyspafoi}；参见 {purdi}, {cange}.
fonmo	gismu   	-fom-   	-fo'o-	      	x_1是由物质x_2上形成的泡沫/水沫，带有物质x_3形成的泡/水沫	参见 {zbabu}.
fonxa	gismu   	-fon-		      	x_1是移动电话收发器/调制解调器，与系统/网络x_2连接	参见 {tcana}.
forca	gismu   	-fro-		      	x_1是叉子/叉状工具，为了目的/功能x_2，带有齿x_3在基座x_4上	参见 {dakfu}, {smuci}, {komcu}, {tutci}.
fraso	gismu   	-fas-		      	x_1是关于法国/高卢的文化/国家/语言等的事物，在x_2方面	参见 {ropno}.
frati	gismu   	-fra-		      	x_1以行为x_2反应/回应/回答刺激/激励x_3，在条件x_4下；x_1是响应的/回应的	x_3刺激x_1，使其发生反应x_2； 刺激x_3导致响应x_2；刺激= {terfratoi}/{tunterfratoi}； 参见 {preti}, {danfu}, {spuda}, {cpedu}, {tarti}.
fraxu	gismu   	-fax-		      	x_1原谅/谅解x_2的行为/状态/行为x_3	参见 {dunda}, {curmi}, {zungi}.
frica	gismu   	-fic-		      	x_1不同于/有区别于x_2，在性质/尺寸/数量x_3上	参见 {ranxi}, {drata}, {dunli}, {simsa}, {vrici}.
friko	gismu   	-fi'o-		      	x_1是关于非洲文化/所在地/地理特性等的事物，在x_2方面	参见 {ropno}, {xazdo}.
frili	gismu   	-fil-		      	行动x_1是简单的/轻松地/容易的，对x_2来说，在条件x_3下；x_2轻松地做x_1	参见 {nandu}, {sampu}, {zifre}.
frinu	gismu			      	x_1是分数（数学概念），分子是x_2，分母是x_3； (x_2/x_3)	参见 {parbi}, {dilcu}, {mekso}, {fendi}.
friti	gismu   	-fit-		      	x_1提供x_2给x_3，在条件x_4下	x_4可能是nu canja, nu pleji 等等； 无条件的给予存在接受的“条件”； x_2可指特定的物品/商品（团体）/事件/性质；语义上讲，在涉及物体/商品的所有权的转移时，使用 {posfriti}, {posyselfriti； 参见 {canja}, {dunda}, {rinsa}, {vecnu}, {jdima}, {cnemu}, {pleji}, {vitke}.
frumu	gismu   	-fru-		      	x_1皱眉/愁眉苦脸（面部表情）	x_1因x_2而皱眉/皱眉作为对x_2的回应= {frufra}；参见 {cmila}, {cisma}.
fukpi	gismu   	-fuk-   	-fu'i-	      	x_1是x_2的复制品/副本/拷贝/克隆，以形式/媒介x_3，以方法x_4（事件）制作	借词=fu'ivla；参见 {krefu}, {rapli}, {gidva}
fulta	gismu   	-ful-   	-flu-	      	x_1（无动力的）漂浮/悬浮在气体/液体x_2中/上；x_1是有浮力的	参见 {limna}, {bloti}, {sakli}.
funca	gismu   	-fun-   	-fu'a-	      	x_1（事件/性质）被运气x_2所决定（不暗示好运/厄运）	参见 {cunso}, {mabla}, {zabna}.
fusra	gismu   	-fur-		      	x_1腐烂/腐朽，在发酵/腐烂助剂x_2作用下；x_1是腐烂的/腐朽的	参见 {birje}, {vanju}, {vifne}.
fuzme	gismu   	-fuz-   	-fu'e-	      	x_1对x_2（行动/结果状态）负有责任，在判断者/评价者x_3看来	参见 {bilga}.
gacri	gismu   	-gai-		      	x_1是用于遮蔽/保护x_2的覆盖物/顶盖	参见 {pilka}, {gapru}, {marbi}, {drudi}, ve {botpi}, {bitmu}, {calku}.
gadri	gismu   	-gad-		      	x_1是冠词，标记描述x_2（文本），以语言x_3，带有语义/含义x_4	x_2是不带冠词的sumti/名词短语；带有冠词的描述= {gadysu'i}；注：“限定词”已成为语言学中可替换冠词的可用成分，但“限定词”包括所有能引入sumti/名词短语的词，不管其是不是冠词，比如：代词所有格（如lemi），数量词（尤其是不确定数量的，如 ci 和su'o），指示词（如：ti, ta, tu）； 逻辑语中的“冠词”只指能引入描述的词（如 selma'o LA 和 LE,以及它们的一些组合形式 lemi, 也可能有lenu）；“冠词”一般是指一个词，但逻辑语显然需要拓广后的含义；参见 {valsi}, {cmavo}.
galfi	gismu   	-gaf-   	-ga'i-	      	事件x_1改变/转化x_2至x_3	导致，表示有原因和结果的变化； （施事的）改变= {gafygau}/{gafyzu'e}；参见 {stika}无结果, {binxo} 无原因, {cenba} 无结果; {zasni}
galtu	gismu   	-gal-   	-ga'u-	      	x_1是高的/向上的/上面的，在参考结构x_2中，与基准线/标准/参照物x_3比较	也指：上面的/较高的；参见 {gapru}, {dizlo}, {cnita}, {drudi}, {farna}.
galxe	gismu			      	x_1是x_2的咽喉/喉咙；（可比喻：狭窄的深洞）	参见 {cnebo}, {kevna}, {tunlo}.
ganlo	gismu   	-ga'o-		      	入口/通道/门x_1是关闭的/不开放的/不可通行的，通道原本通向x_2，对通过者x_3	通道也可能指半透膜；参见 {kalri}, {pagre}, {canko}, {vorme}, {zunti}.
ganra	gismu   	-gan-		      	x_1是宽的，在尺寸/规格x_2上，基于测量标准x_3	参见 {clani}, {jarki}, {rotsu}, {condi}, {barda}, {gutci}, {minli}.
ganse	gismu   	-gas-   	-ga'e-	      	x_1（观察者）观察/探测/感受/感觉到刺激物的性质x_2（ka），依靠方法x_3，在条件x_4下	x_1对x_2是有感觉的；也指：感知/察觉/认知/领悟/识别（不暗示存在反应，不必要任何心智上的处理过程）； 注意其强调的是刺激x_1或被感受到的性质；（{sanji}是被动的“感知”，且并不限于感觉器的输入，也可能只是某种心理上的感受/识别，而与探知的方式无关）；x_3感官/感受信道；参见 {pencu}, {sanji}, {viska}, {sumne}, {tirna}, {zgana}, {canci}, {simlu}.
ganti	gismu			      	x_1是x_2的生殖腺（如：卵巢/睾丸/花蕊等）	产生配偶子（卵子/精子/花粉等）的器官；参见 {plibu}, {sovda}, {pinji}, {gutra}, {mabla}.
ganxo	gismu   	-gax-		      	x_1是x_2的屁眼/肛门	参见 {zargu}, {kalci}, {mabla}, {rinci}.
ganzu	gismu   	-gaz-		      	x_1组织x_2（相对混乱）进入/成为x_3，使用组织系统/原则x_4	x_3也指系统； x_4可能只是表示了x_3组织结构的函数；参见 {ciste}, {morna}, {stura}, {bilni}, {cabra}.
gapci	gismu   	-gac-		      	x_1是气态的/气体/水汽/蒸汽，包含物质x_2，在条件x_3（温度/压强）下	x_3包括温度和压强；参见 {pambe}, {vacri}, {litki}, {sligu}, {danmo}, {bumru}, {cidro}, {flecu}.
gapru	gismu   	-gap-		      	x_1在x_2的正上方，在参考系/重力方向x_3下	参见 {tsani}, {galtu}, {cnita}, {drudi}, {gacri}, {dizlo}, {farna}.
garna	gismu   	-gar-		      	x_1是用于支撑x_2的扶手，由材料x_3构成	参见 {kamju}, {grana}, {tutci}.
gasnu	gismu   	-gau-		      	x_1是事件x_2发生的施事原因；x_1做x_2	参见：{gau}, {gunka}, {zukte}, {rinka}, {fasnu}无施事者, {jibri}, {kakne}, {pilno}
gaspo	experimental gismu			      	x_1是关于危地马拉的文化/语言等的事物，在x_2方面
gasta	gismu   	-gat-		      	x_1是钢/钢制品，含有材料x_2	参见 {jinme}, {molki}, {tirse}.
genja	gismu   	-gej-		      	x_1是植物x_2的根	参见 {jamfu}, {jicmu}, {patlu}, {samcu}, {spati}, {krasi}.
gento	gismu   	-get-   	-ge'o-	      	x_1是关于阿根廷的文化/国家/语言等的事物，在x_2方面	参见 {xispo}, {ketco}, {spano}.
genxu	gismu   	-gex-		      	x_1是钩子，由材料x_2构成	参见 {kruvi}, {korcu}.
gerku	gismu   	-ger-   	-ge'u-	      	x_1是狗/犬，属于品种/种类x_2	参见 {lorxu}, {labno}, {mlatu}.
gerna	gismu   	-gen-   	-ge'a-	      	x_1是语言x_2的语法规则，对于具体句型/文本x_3而言	参见 {bangu}, {stura}, {cmavo}, {jufra}.
gidva	gismu   	-gid-   	-gi'a-	      	x_1（人/物/事）引导/指导/带领参与者x_2进入/处于事件x_3	指导者x_1可能提建议/提意见/做表率，但并不必要直接用行动介入具体的事件中；可供指导的事件可能是作为可模仿的事件模式/范例；参见 {jitro}, {ralju}, {sazri}, te {bende}, {jatna}, {fukpi}, {morna}.
gigdo	gismu   	-gig-   	-gi'o-	      	x_1是十亿/十的九次方个/份[10^9]x_2，在x_3方面（默认为计量单位）	参见 {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}. {litce}, {merli}, {centi}, {decti}, {dekto}, {femti}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}
ginka	gismu   	-gik-		      	x_1是x_2的营地/帐篷/临时住处，处于地点x_3	参见 {dinju}, {xabju}, {zdani}.
girzu	gismu   	-gir-   	-gri-	      	x_1是串/组/簇/群，具有共同性质x_2，由于集合x_3，集合由关系x_4相互联系	也指：团队，由……组成/构成； 成员集x_3（成员的完整集合）中包含了组x_1； 群/簇= {kangri}；参见 {bende}, {ciste}, {cmima}, {gunma}, {panra}, {cabra}, {cecmu}, {kansa}, {klesi}, {lanzu}, {liste}, {vrici}.
gismu	gismu   	-gim-   	-gi'u-	      	x_1是逻辑语根词，表达关系x_2, 在参数角色x_3中,  和词缀x_4.
glare	gismu   	-gla-		      	x_1是热的，基于标准x_2	温的= {mligla}，发烧的= {bi'agla}；参见 {lenku}.
gleki	gismu   	-gek-   	-gei-	      	x_1 乐 x_2 (事件/状态).
gletu	gismu   	-let-   	-gle-	      	x_1与x_2性交；x_1日/操/上x_2	其中x_1与x_2是可互换的；骑式性交= {cpanygle}；参见 {cinse}, {pinji}, {plibu}, {vibna}, {vlagi}, {mabla}, {speni}.
gliban	cmevla			      	英语	专名。参见：{glico}（英格兰）、{bangu}（语言）、{glibau}（英语，属gismu）。
glico	gismu   	-gic-   	-gli-	      	x_1是关于英语/说英语的文化/国家/语言等的事物，在x_2方面；	英格兰={gligu'e}；英式英语={gliglibau}；注：英国/英联邦{brito}与英格兰并不是同一个概念。参见{merko},{sralo},{kadno},{skoto}
gluta	gismu   	-glu-		      	x_1是由材料x_2制成的手套	露指手套= {degycauglu}； 参见 {taxfu}.
gocti	gismu   	-goc-		      	x_1是十的负二十四次方个/份[10^{-24}]x_2，在x_3方面（默认为计量单位）	参见 {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}. {litce}, {merli}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}
gotro	gismu   	-got-		      	x_1是十的二十四次方个/份[10^21]x_2，在x_3方面（默认为计量单位）	参见 {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}. {litce}, {merli}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}
gradu	gismu   	-rau-		      	x_1是一个层级/量级/等级/层次，基于标准/参考x_2（si'o），具有性质x_3	也指：级别/极端；x_3尺寸/规格；参见 {ckilu}, {kantu}, {kelvo}, {merli}, {ranti}, {selci}.
grake	gismu   	-gra-		      	x_1具有x_2克的质量（公制单位），基于标准x_3	参见 {junta}, {kilto}, {bunda}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {litce}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
grana	gismu   	-ga'a-		      	x_1是棒/棍/杖/杆，由材料x_2构成	参见 {garna}.
grasu	gismu   	-ras-		      	x_1是油脂/由油脂构成，来源于x_2	参见 {ctile}, {matne}, {plana}.
greku	gismu   	-rek-		      	x_1是决定/承载样式/形式x_2的框架结构/纲要	参见 {korbi}, {stura}, {tsina}, {bongu}.
grusi	gismu   	-rus-		      	x_1是灰色的	参见 {skari}, {blabi}, {xekri}, {kandi}, {carmi}.
grute	gismu   	-rut-		      	x_1是水果/果实，属于品种/种类x_2	参见 {badna}, {dembi}, {figre}, {guzme}, {narge}, {perli}, {pilka}, {plise}, {spati}, {stagi}, {tamca}, {tsiju}, {tarbi}, {panzi}, {rorci}, te {pruce}, {jbari}, {nimre}.
gubni	gismu   	-gub-		      	x_1是团体x_2全体所公开的/公共的/公有的	参见 {sivni}.
gugde	gismu   	-gug-   	-gu'e-	      	x_1是国家，由人民x_2构成，具有土地/领地/主权区域x_3	也指：国内的/国家的；参见 {turni}, {natmi}, {jecta}, {tumla}, {tutra}, {lanci}.
gugl	cmevla			      	Google（谷歌）
gumri	experimental gismu			      	x_1是蘑菇/伞菌，属于品种/种类x_2	参见 {mledi}, {ledgrute}
gundi	gismu   	-gud-		      	x_1是生产制造x_2的工业活动/系统的制造行为，依靠方法/方式/进程x_3	参见 {cupra}, {fanri}, {rutni}, {zbasu}.
gunka	gismu   	-gun-   	-gu'a-	      	x_1 [人] 劳动/工作, 于x_2 [活动], 目的/对象 x_3.
gunma	gismu   	-gum-		      	x_1是由各组件x_2共同组成的团/队/集体	x_1位呈现出了整个团体具有的性质；团体可能显示出集合中单个成员所不具有的性质，而且单个成员的性质也不必要与团体性质有关；参见 {bende}, {girzu}, {pagbu}, {loi}, {lei}, {lai}, {ciste}, {cmima}, {kansa}, {tinci}, {mulgunma}.
gunro	gismu   	-gur-   	-gu'o-	      	x_1在表面x_2旋转/滚动，转轴为x_3；x_1在打滚/是滚筒	参见 {bolci}, {carna}, {jendu}, {slanu}.
gunse	gismu			      	x_1是鹅，属于品种/种类x_2	参见 {cipni}.
gunta	gismu   	-gut-		      	x_1攻击/入侵/进攻/侵犯/侵害x_2，为了目的x_3	参见 {bradi}, {damba}, {darxi}, {jamna}, {jenca}, {jursa}.
guonJAUS	cmevla			      	广州	粤语发音
gurni	gismu   	-gru-		      	x_1是谷物，属于品种/种类x_2	参见 {bavmi}, {cunmi}, {mavji}, {maxri}, {molki}, {mraji}, {rismi}, {sobde}, {spati}, {zumri}, {nanba}, {sorgu}.
guska	gismu   	-guk-		      	x_1将x_2从x_3上刮掉/擦掉/磨掉/腐蚀掉	磨掉/研磨/摩擦={mosyguska}；参见 {balre}, {sraku}, {batci}, {canpa}, {mosra}.
gusni	gismu   	-gus-   	-gu'i-	      	x_1 [能量]是光/亮照亮x_2, 从光源x_3发出.
gusta	gismu			      	x_1是餐厅/饭馆/食堂，提供食物x_2给x_3	参见 {barja}, {citka}, {kukte}, {sanmi}, {xotli}.
gutci	gismu   	-guc-		      	x_1是x_2个当地长度单位（非公制），基于标准x_3，亚单位/子单位为x_4	英尺/脚长= {jmagutci}，码= {cibjmagutci}；步长= {tapygutci}；英寸/指长= {degygutci}；腕尺= {birgutci}；更多的子单位可以继续添加x_5,x6……；参见 {mitre}, {clani}, {ganra}, {condi}, {rotsu}, {rupnu}, {fepni}, {dekpu}, {minli}, {merli}, {bunda}, {kramu}.
gutra	gismu			      	x_1是x_2的子宫；（可比喻：孕育之处）	参见 {jbena}, {rorci}, {sovda}, {tarbi}, {ganti}, {mabla}.
guzme	gismu   	-guz-   	-zme-	      	x_1是南瓜属植物/果实，属于品种/种类x_2；如南瓜，甜瓜	参见 {grute}.
iaves	cmevla			      	雅威（即耶和华，又有译永为）	犹太教-基督教-伊斯兰教的神名，本是自有永有、成事者的意思。参见：{jegvon}（耶和华，专名）、{cev}（神，专名）、{cevni}（神袛）、{jegvo}（三教共尊的圣经）、{xebro}（希伯来）、{xriso}（基督教）、{muslo}（伊斯兰）。
ieRUcaly'im	cmevla			      	耶路撒冷
island	cmevla			      	冰岛
italian	cmevla			      	意大利	又译“义大利”等。
jabre	gismu			      	x_1减缓/减速运动/行为x_2，使用设备/机械/原理x_3	参见 {mosra}.
jadni	gismu   	-jad-   	-ja'i-	      	x_1（物体）装饰/修饰x_2；x_1是装饰x_2的装饰品；x_2是经x_1装饰/修饰过的	装饰过的/装饰一新的= {selja'i}；参见 {jemna}, {dirba}, {batke}.
jakne	gismu			      	x_1是火箭（载具），由驱动装置x_2驱动，运输负载x_3	参见 {cecla}, {danti}, {spoja}.
jalge	gismu   	-jag-   	-ja'e-	      	x_1（行为/事件/状态）是由前提x_2（事件/状态/进程）导致的成果/结果/后果/输出	也指：x_2引起x_1；求和 = {pi'irja'e}, {sujyja'e}；{mekyja'e}；参见 se {mukti}, te {zukte}, se {rinka}, se {krinu}, se {nibli}, {mulno}, {sumji}, {pilji}, {mekso}, {ja'e}, {ciksi}.
jalna	gismu			      	x_1是淀粉，来源于x_2，组分包括x_3	参见 {patlu}, {samcu}.
jalra	gismu			      	x_1是直翅类昆虫，属于品种/种类x_2；如：蟑螂	蝗虫/蚱蜢= {pipyjalra}；蟋蟀= {sagjalra}；白蚁= {mantyjalra}/{mudyctijalra}；（直翅目昆虫包括蟋蟀/蚱蜢等，白蚁（等翅目）与直翅目昆虫很接近，但并不属于直翅目）；参见 {cinki}, {civla}, {manti}.
jamfu	gismu   	-jaf-   	-jma-	      	x_1是x_2的脚（身体部位）	参见 {jicmu}, {genja}, {zbepi}, {tuple}, {jubme}, {xance}, {tamji}.
jamna	gismu   	-jam-		      	x_1与x_2战争，为了主权/问题x_3；x_1与x_2交战	参见 {bradi}, {gunta}, {panpi}, {damba}, {darlu}.
jan	cmevla			      	Jean（名）、张（姓氏）	Jean常译为“让”。
janbe	gismu   	-jab-		      	x_1是发出声音/信号x_2的铃/钟	也指：x_1响铃；参见 {zgike}, {tonga}, {desku}, {slilu}.
janco	gismu   	-jan-		      	x_1是肩/关节（身体部位）连接肢体x_2和身体x_3	参见 {birka}.
janli	gismu   	-jal-		      	x_1撞击/碰撞/撞向x_2	冲撞/对撞={simjanli}，指两个运动的物体相撞；参见 {darxi}.
jansu	gismu   	-jas-		      	x_1是外交官，代表政体/国家/政治组织x_2，在协商/谈判x_3中，为了功能/目的x_4	为了x_3政权，使用tu'a；大使/领事= {raljansu}/{trujansu}；参见 {jecta}, {krati}.
janta	gismu   	-jat-		      	x_1是账目/账单/发票，为了货物/服务x_2，发票给予x_3，由x_4给出	参见 {jdima}, {vamji}, {vecnu}, {canja}, {jerna}, {dejni}, {jbera}.
jarbu	gismu			      	x_1是城市/中心城市的城郊x_2	参见 {nurma}, se {tcadu}, ve {tcadu}.
