go'o	cmavo			   	GOhA      	のちほどの bridi ： 代詞（bridi）； 通常は次の bridi	・読み方： ゴホ
go'u	cmavo			   	GOhA      	以前の bridi ： 代詞（bridi）；	・読み方： ゴフ
gu	cmavo			   	GA      	～にかかわらず ： 接続詞（論理・前置・sumti/bridi/文）； 前部は真、後部がどうであるかにかかわらず； 後部は gi で繋ぐ	「ganai tinbe lo menli gi se bradi .i ganai jinru lo se cinmo gi se fleca'e .i ganai xarnu gi to'e zifre .i ro bu'a zo'u se gu bu'a gi lo prenu cecmu cu se xabju co nandu／智に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。」（漱石『草枕』） ・読み方： グ
gu'a	cmavo			   	GUhA      	tanru 論理和（OR）／～や～ ： 接続詞（論理・前置・tanru）； 前部と後部はどちらか或いは共に真； 後部は gi で繋ぐ	・読み方： グハ
gu'anai	cmavo-compound			   	GUhA*      	tanru 論理含有／～なら～ ： 接続詞（論理・前置・tanru）； 前部が真なら後部は真； 後部は gi で繋ぐ	・読み方： グハナイ
gu'e	cmavo			   	GUhA      	tanru 論理積（AND）／～と～ ： 接続詞（論理・前置・tanru）； 前部と後部は共に真であり偽ではない； 後部は gi で繋ぐ	・読み方： グヘ
gu'i	cmavo			   	GUhA      	tanru 接続詞質問 ： 接続詞（論理・前置・tanru）； 前部と後部の論理関係を問う； 後部は gi で繋ぐ	・読み方： グヒ
gu'o	cmavo			   	GUhA      	tanru 否定排他的論理和（XNOR）／同値（iff） ： 接続詞（論理・前置・tanru）； 前部と後部は共に真あるいは共に偽； 後部は gi で繋ぐ	・読み方： グホ
gu'onai	cmavo-compound			   	GUhA*      	tanru 排他的論理和（XOR） ： 接続詞（論理・前置・tanru）； 前部と後部はどちらかだけ真； 後部は gi で繋ぐ	・読み方： グホナイ
gu'u	cmavo			   	GUhA      	tanru ～にかかわらず ： 接続詞（論理・前置・tanru）； 前部は真、後部がどうであるかにかかわらず； 後部は gi で繋ぐ	・読み方： グフ
gy	cmavo			   	BY2      	g ： 字詞；	・読み方： グァ
i	cmavo			   	I      	文境界 ： 境界詞； 文の境界を示す	他言語の句点やピリオドに相当。 ・読み方： イ
ia	cmavo			   	UI1      	信念 （ ia 信念 - iacu'i 懐疑 - ianai 不信）	心態詞； 事実的根拠が十分でない状態でそれを認める気持「.ia lo cevni cu zasti／神は存在する！」 ・読み方： ヤ ・関連語： {krici}, {birti}, {jinvi}
i'a	cmavo			   	UI1      	受容 （ i'a 受容 - i'anai 叱責）	心態詞； それを受け容れる気持「うん、いいよ」「.i'a ta banzu／よし、それで足りる」 ・読み方： イハ  ・関連語： {selmansa}, {nalpro}, {no'epro}, {nalzugjdi}, {fi'i}
iacu'i	cmavo-compound			   	UI*1      	懐疑 （ ia 信念 - iacu'i 懐疑 - ianai 不信）	心態詞； それを信じとどまる気持「.ia cu'i lo cevni cu zasti／神は存在するかもしれないし、存在しないかもしれない」 ・読み方： ヤシュヒ ・関連語： {senpi}
ianai	cmavo-compound			   	UI*1      	不信 （ ia 信念 - iacu'i 懐疑 - ianai 不信）	心態詞； それを信じない気持 「.ia nai lo cevni cu zasti／神が存在するわけがない！」 ・読み方： ヤナイ ・関連語： {tolkri}
i'anai	cmavo-compound			   	UI*1      	叱責 （ i'a 受容 - i'anai 叱責）	心態詞； それを受け容れずに責める／咎める／拒否する気持 「.i'a nai ta mi za'o na mansa／いや、それでもまだ不満だ」  ・読み方： イハナイ ・関連語： {tolselmansa}, {fi'i} {nai}
ibu	bu-letteral			   	BY*      	i ： 字詞	・読み方： イブ
ie	cmavo			   	UI1      	賛成 （ ie 賛成 - ienai 不賛成）	心態詞； それに賛同する気持 「.ie ta melbi／そうだね、それは綺麗だ」 ・読み方： イェ ・関連語： {tugni}
i'e	cmavo			   	UI1      	喝采 （ i'e 喝采 - i'ecu'i 保留 - i'enai 非難）	心態詞； それの良さを認めて支持／擁護する気持； 良さを内面的に味わう i'o と異なる「いいねぇ」「いけー！（応援）」「そうだそうだ（擁護）」「.i'e do xautce gunka／素晴らしい、本当によくやった」 ・読み方： イヘ  ・関連語： {zanru}
i'ecu'i	cmavo-compound			   	UI*1      	保留 （ i'e 喝采 - i'ecu'i 保留 - i'enai 非難）	心態詞； それの良さを未だ認めることができずに支持しとどまる気持 「.i'e cu'i lo cmaci ka'e cfipu lo co'a ve ckule／良いか悪いかはともかくとして、数学は1年生には難しいかもしれない」 ・読み方： イヘシュヒ ・関連語： {nutli}, {norzau}
ienai	cmavo-compound			   	UI*1      	不賛成 （ ie 賛成 - ienai 不賛成）	心態詞； それに賛同しない気持 「.ie nai go'i／それには反対だ」 ・読み方： イェナイ ・関連語： {toltu'i}
i'enai	cmavo-compound			   	UI*1      	非難 （ i'e 喝采 - i'ecu'i 保留 - i'enai 非難）	心態詞； それの良さを認めずに支持しない気持 「.i'e nai le pixra cu korcu dandu／ちっ、絵が傾いてるな」 ・読み方： イヘナイ ・関連語： {tolzau}
ii	cmavo			   	UI1      	恐怖 （ ii 恐怖 - iinai 安全）	心態詞； 怖れる／怯える気持 「.ii le tirxu vo'a xruti／ひぇぇ、虎が戻ってきた」・読み方： イィ ・関連語： {terpa}
i'i	cmavo			   	UI1      	連帯 （ i'i 連帯 - i'inai 内密）	心態詞； それについて他者との連帯感を覚える気持 「.i'i mi ba jinga／我々は勝つぞ！オーッ！」「.i'i mi mi'ecpe lo se pleji nu zenba／我々は賃上げを要求するぞ！オーッ！」 ・読み方： イヒ  ・関連語： {kansa}, {gunma}
iinai	cmavo-compound			   	UI*1      	安全 （ ii 恐怖 - iinai 安全）	心態詞； 恐怖が無く安全を覚える情況 「.ii nai le ctuca na ba tolcri mi'o ti／大丈夫、ここなら先生に見つからないよ」 ・読み方： イィナイ ・関連語： {snura}
i'inai	cmavo-compound			   	UI*1      	内密 （ i'i 連帯 - i'inai 内密）	心態詞； それについて他者との関わりを覚えず、私的な事物として保っていたい気持 「.i'i nai ko cliva／席を外してください」 ・読み方： イヒナイ  ・関連語： {selsivni}, {sepli}
ija	cmavo-compound			   	JA*      	文論理和（OR）／～や～ ： 接続詞（論理・後置・文）； 左部と右部はどちらか或いは共に真	・読み方： イジャ
ijanai	cmavo-compound			   	JA*      	文論理含有／～なら～ ： 接続詞（論理・後置・文）； 前部は真、後部が真なら	・読み方： イジャナイ
ije	cmavo-compound			   	JA*      	文論理積（AND）／～と～ ： 接続詞（論理・後置・文）； 前部と後部は共に真	「gau zgitigni .ije sanga／ひかせてうたつてゐる」（山頭火『行乞記（二）』） ・読み方： イジェ
ije'i	cmavo-compound			   	JA*      	文接続詞質問 ： 接続詞（論理・後置・文）； 前部と後部の論理関係を尋ねる	・読み方： イジェヒ
ijenai	cmavo-compound			   	JA*      	文 ～だが～ではない ： 接続詞（論理・後置・文）； 前部は真で、後部は偽	・読み方： イジェナイ
ijo	cmavo-compound			   	JA*      	文否定排他的論理和（XNOR）／同値（iff） ： 接続詞（論理・後置・文）； 前部と後部は共に真あるいは共に偽	・読み方： イジョ
ijonai	cmavo-compound			   	JA*      	文排他的論理和（XOR） ： 接続詞（論理・後置・文）； 前部と後部はどちらかだけ真	・読み方： イジョナイ
iju	cmavo-compound			   	JA*      	文 ～にかかわらず ： 接続詞（論理・後置・文）； 前部は真、後部がどうかにかかわらず	・読み方： イジュ
inaja	cmavo-compound			   	JA*      	文論理含有／～なら～ ： 接続詞（論理・後置・文）； 前部が真なら後部は真	「to'u ja'o tcima xamgu .inaja lo jikcre cu se sidju／とにかくお天気ならば世間師は助かる」（山頭火『行乞記（二）』） ・読み方： イナジャ
io	cmavo			   	UI1      	尊敬 （ io 尊敬 - ionai 軽蔑）	心態詞； それを敬う気持 「.io ko mi jersi doi nolnau／旦那様、どうぞこちらへ」 ・読み方： ヨ ・関連語： {sinma}, {clite}, {ga'i} {nai}
i'o	cmavo			   	UI1      	鑑賞 （ i'o 鑑賞 - i'onai 嫉妬）	心態詞； それの良さを鑑賞して味わう気持； 良さを公的に認めて支持する i'e と異なる「いいねえ」「.i'o do je'a pendo／恩に着るぜ、心の友よ」 ・読み方： イホ  ・関連語： {ckire}
ionai	cmavo-compound			   	UI*1      	軽蔑 （ io 尊敬 - ionai 軽蔑）	心態詞； それを蔑む気持 「.io nai ko ti klama doi bebna／このバカ、こっちに来やがれ」 ・読み方： ヨナイ ・関連語： {tolsi'a}, {ga'i}
i'onai	cmavo-compound			   	UI*1      	嫉妬 （ i'o 鑑賞 - i'onai 嫉妬）	心態詞； それの良さを妬む気持「ふんっだ」「.i'o nai do ro roi se funca lo zabna／畜生、お前はいつも運がいいな」 ・読み方： イホナイ  ・関連語： {jilra}
iu	cmavo			   	UI1      	愛好 （ iu 愛好 - iunai 憎悪）	心態詞； それにたいする愛好が充溢している情況； 愛する気持 「.iu do melbi／綺麗だよ、ハニー」 ・読み方： ユ ・関連語： {prami}, {pendo}
i'u	cmavo			   	UI1      	既知 （ i'u 既知 - i'unai 未知）	心態詞； それに見覚え／聞き覚え等がある情況「ああ、あれね」「.i'u mi ta xabju ze'a lo nanca be li so'i／知っている、そこに長年住んでいたから」 ・読み方： イフ  ・関連語： {selsau}, {nalselni'o}, {kufra}, {djuno}
iunai	cmavo-compound			   	UI*1      	憎悪 （ iu 愛好 - iunai 憎悪）	心態詞； それを嫌って憎む気持 「.iu nai do palci／この悪魔！」 ・読み方： ユナイ ・関連語： {xebni}
i'unai	cmavo-compound			   	UI*1      	未知 （ i'u 既知 - i'unai 未知）	心態詞； それを見たことも聞いたこともない情況 「.i'u nai no da sidbo fi mi lo du'u pleji ma kau fo ta／それにいくらつぎ込んだのか、私には見当も付きません」 ・読み方： イフナイ ・関連語： {termipri}
ja	cmavo   	-jav-		   	JA      	tanru 論理和（OR）／～や～ ： 接続詞（論理・後置・tanru）； 前部と後部のどちらか或いは両が真	・大意： や ・読み方： ジャ
ja'a	cmavo			   	NA      	命題肯定 ： 主に selbri の左に付いて命題全体を肯定する	・読み方： ジャハ
ja'e	cmavo			   	BAI      	～を結果として／～となって ： jalge 法制詞, x_1	・読み方： ジャヘ
ja'enai	cmavo-compound			   	BAI*      	～という事にはならずに ： jalge 法制詞, x_1	「troci ta'i roda ja'enai lo nu snada／何をやってみても成功が無い」 ・読み方： ジャヘナイ
jai	cmavo   	-jax-		   	JAI      	付辞項辞転換 ： 通常は間制や法制の一部として使う項を項辞 x_1 として使えるようにする； 本来の x_1 は不特定の項位置に移る（この項位置を明示して本来の x_1 を再利用するには fai を使う； x_1 に持ってくる付辞の種類を特定する場合は該当する間制や法制を jai の後に加える	「lo nunkla jaica lerci／来る時間が遅い」 「ko'e jai nabmi = 彼は問題だ」、本来は人が何かをすることや何かであることが問題なのであり、人そのものは問題となれない。「lo jai cerni clira cu jipci je verba／朝早いのは鶏と子供だ」（山頭火『行乞記（二）』） ・読み方： ジャイ ・関連語： {fai}
ja'i	cmavo			   	BAI      	～を規則として ： javni 法制詞, x_1	・読み方： ジャヒ
ja'o	cmavo			   	UI2      	つまり	心態詞（認識系）；論理・法則・体系に照らし合わせて必然的 「つまり」「要するに」「したがって」「za'a carvi cladu .i ja'o carvi carmi／雨音がうるさいな。つまり雨が激しいということだ」 ・読み方： ジャホ  ・関連語： {selni'i}, {ni'ikri}
jau	cmavo			   	PA2      	16進法D/10進法13 ： 数量詞；	・読み方： ジャウ
je	cmavo   	-jev-   	-jve-	   	JA      	tanru 論理積（AND）／～と～ ： 接続詞（論理・後置・tanru）； 前部と後部は共に真	・大意： と／かつ／そして ・読み方： ジェ
je'a	cmavo			   	NAhE      	段階肯定 ： 段階詞； 段階否定にたいして肯定を上書きする	「実に」 ・読み方： ジェハ
je'e	cmavo			   	COI      	了承 ：心態詞（呼応系）； 相手からの提供や申し出にたいする了承を表す	「わかりました」「どういたしまして」 ・読み方： ジェヘ
je'enai	cmavo-compound			   	COI*      	不承 ：心態詞（呼応系）； 相手からの提供や申し出を了承しかねることを表す	「それはちょっと・・・」 ・読み方： ジェヘナイ
jei	cmavo   	-jez-		   	NU      	真理値抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する真理値を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は[bridi]の真理値、 x_2 （認識体系）の	「lo jei do mi nelci = あなたが私のことを好きかどうか」 ・大意： 抽象： 真理値 ・読み方： ジェイ
je'i	cmavo			   	JA      	tanru 接続詞質問 ： 接続詞（論理・後置・tanru）； 前部と後部の論理関係を問う	「lo xalka cu pe'a selklaku je'i kau cniselva'u .i ju'o naje／酒は涙か溜息か、――たしかに溜息だよ。」（山頭火『行乞記（二）』） ・読み方： ジェヒ
jenai	cmavo-compound			   	JA*      	tanru ～だが～ではない ： 接続詞（論理・後置・tanru）； 前部は真で後部は偽	・読み方： ジェナイ
je'o	cmavo			   	BY1      	ヘブライ文字変換 ： 字詞をヘブライ文字に変換	・読み方： ジェホ
je'u	cmavo			   	UI3      	真実 （ je'u 真実 - je'unai 虚偽）	心態詞（談話系）「je'u pei／まじで？」「je'u zukte tu'a lo nabmi se bilga .i po'o pu nai ca sanji lo si'o bevri ri ti／本当に宿題やりました。持ってくるのを忘れただけです。」「.ue mi pu krici lo du'u do se bloti lo je'u te falnu／えっ、あなたが乗ってきたボートが本当に帆で動いていると思い込んでいたよ」 ・読み方： ジェフ ・関連語：{jetnu}; {da'inai}
je'unai	cmavo-compound			   	UI*3      	虚偽 （ je'u 真実 - je'unai 虚偽）	心態詞（談話系）「mi terpa lo cidjrmanju .i ca terpa lo glare tcati je'unai／まんじゅう怖い。今は濃いお茶が怖い（嘘）。」 いわゆる（真実はそうではない）「le je'unai palci cu xanri le menli poi na jimpe le manku sevzi／いわゆる悪というのは、暗黒の自己を理解できない心が見る幻だ」 ・読み方： ジェフナイ ・関連語： {jitfa}; {da'i}
ji	cmavo			   	A      	sumti 接続詞質問 ： 接続詞（論理）； 前部と後部の論理関係を問う	・読み方： ジ
ji'a	cmavo			   	UI3b      	追加	心態詞（談話系）「～も」「～だって」 「lo plise cu xamgu lo nu kanro .i ji'a py. kukte／林檎は健康に良いし、それに美味しい」 「mi ji'a nelci lo plise／私も林檎が好きだ」 ・読み方： ジハ ・関連語： {jmina}; {ji'asai}
ji'asai	cmavo-compound			   	UI*3b      	さえも	心態詞（談話系） 「lo smani ji'a sai cu farlu fi lo tricu／猿も木から落ちる」 「lo xagji cribe cu citka lo cinki ku ji'a sai／飢えた熊は虫さえも食べる」 ・関連語： {ji'a} {sai}
ji'e	cmavo			   	BAI      	～まで（限界） ： 法制詞； jimte の x_1	・読み方： ジヘ
ji'ei	experimental cmavo			   	UI5      	有生（ji'ei 有生 - ji'einai 無生）	心態詞；それが生を有しているように感じていることを表す。 照応や指示表現において、特にそれが生き物である（彼／彼女）ことを明示したいときに使う。 「raji'ei／彼・彼女」 ・関連：{ji'einai}, {jmive}
ji'einai	cmavo-compound			   	UI*5      	無生（ji'ei 有生 - ji'einai 無生）	心態詞；それが生を有していないように感じていることを表す。 照応や指示表現において、特にそれが無機物（それ／it）であることを明示したいときに使う。 「raji'einai／それ」　・関連：{ji'ei}, {jmive}, {nai}
ji'i	cmavo			   	PA4      	およそ／約 ： 数量詞	・読み方： ジヒ
ji'ima'u	cmavo-compound			   	PA*      	切り上げ ： 数量詞； プラス方向の約	・読み方： ジヒマウ
ji'ini'u	cmavo-compound			   	PA*      	切り下げ ： 数量詞； マイナス方向の約	・読み方： ジヒニフ
ji'o	cmavo			   	BAI      	～の管轄下で ： 法制詞； jitro の x_1	・読み方： ジホ
ji'u	cmavo			   	BAI      	～を基盤として ： 法制詞； jicmu の x_1	・読み方： ジフ
jo	cmavo   	-jov-		   	JA      	tanru 否定排他的論理和（XNOR）／同値（iff） ： 接続詞（論理・後置・tanru）； 前部と後部は共に真あるいは共に偽	・大意： ～のときだけ ・読み方： ジョ
jo'a	cmavo			   	UI3a      	メタ言語肯定	心態詞（談話系）； 命題に影響を与えずに肯定を表す「ti se citka e'a pei --- e'a jo'a／これ食べていいですか？--- いいですとも。」「ti kukte jo'a／これはたしかにおいしい。」 ・読み方： ジョハ ・関連語： {drani}
jo'au	experimental cmavo			   	COI3      	パーサのバージョン／方言を変更する	{do'u} が省略可能な終端詞。 {jo'au} に続く cmevla/sumti/selbri の語形と文法は lojban.org サイト内のページ ``BPFK Section: PEG Morphology Algorithm'' のバージョン 134 と、 公式文法に従っていなければならない。 例えば ``jo'au jie bu'' や ``jo'au xy xi xei'' は意味のある句ではない。 標準的な用法では全文章の最初に {jo'au} 句を使う。 {fa'o} の使い方と反対である。 {jo'au} 句の意味は後ろに係り、その範囲は次の {jo'au} 句が現れるまでの部分である。 最初の {jo'au} 句が文章の途中に出てくる場合は、 その意味は文章の最初から次の {jo'au} 句が現れるまでの部分に係る。 意味のある例: jo'au cylyly xi papipa (公式yaccとjbofi'e http://www.lojban.org/jboski/ ) ; jo'au camxes (現行 peg http://camxes.lojban.org/ ) ; jo'au iocixes (xorxes の zasni gerna https://skami2.iocikun.jp/lojban/zasniGerna , http://www.lojban.org/tiki/zasni+gerna ) ; jo'au zantufa xi nopipapa (zantufa第0.11版 http://guskant.github.io/gerna_cipra/zantufa-0.11.html ) ; jo'au ilmentufa xi renopavopi'epapapi'erevo (ilmentufa の 2014-11-24 版 http://mw.lojban.org/extensions/ilmentufa/camxes-exp.html , https://github.com/Ilmen-vodhr/ilmentufa ) ; jo'au fancylojban (fancylojban http://mw.lojban.org/lmw/fancylojban , http://mw.lojban.org/lmw/ce_ki_tau_jau )
jo'e	cmavo   	-jom-		   	JOI      	和集合 ： 接続詞（非論理・sumti/selbri）； 左右の集合の和を表す	・大意： 和集合 ・読み方： ジョヘ
joi	cmavo   	-jol-   	-joi-	   	JOI      	一緒（混合） ： 接続詞（非論理・sumti/selbri）； 事物や性質が混合的に一緒であることを表す； 数学的群を形成する	「mi joi ko'o bevri lo pipno／私と彼女が一緒にピアノを運ぶ」 ・大意： 一緒に（混合） ・読み方： ジョイ
jo'i	cmavo			   	JOhI      	配列 ： MEX（数式）の演算子を結合して配列にする	・読み方： ジョヒ
jonai	cmavo-compound			   	JA*      	tanru 排他的論理和（XOR） ： 接続詞（論理）； 前部と後部はどちらかだけ真	・読み方： ジョナイ
jo'o	cmavo			   	BY1      	アラビア文字シフト ： 字詞をアラビア文字コードにシフトする	・読み方： ジョホ
jo'u	cmavo   	-jo'u-		   	JOI      	一緒（非混合） ： 接続詞（非論理・sumti/selbri）；	・大意： 一緒に（非混合） ・読み方： ジョフ
ju	cmavo   	-juv-		   	JA      	tanru ～にかかわらず ： 接続詞（論理・後置・tanru）； 前部は真、後部がどうであるかにかかわらず	・大意： ～にかかわらず ・読み方： ジュ
ju'a	cmavo			   	UI2      	提言	心態詞（認識系）； 発言／表現が何らかの認識基盤にもとづいていることを念押しする「言っておくけど」「ju'a ba'e ro da cu se senpi／全てが疑わしいと言える」 ・読み方： ジュハ  ・関連語： {xusra}
ju'e	cmavo			   	JOI      	不特定非論理接続詞 ： 接続詞（非論理・sumti/selbri）； 要素間の不特定な繋がりを表す	・読み方： ジュヘ
ju'i	cmavo			   	COI      	：心態詞（呼応系）； 自分にたいする聞き手の注目を求める； 目立ちたい	・読み方： ジュヒ
ju'icu'i	cmavo-compound			   	COI*      	：心態詞（呼応系）； 自分のことを聞き手が構ってくれなくてもよい	「お構いなく」 ・読み方： ジュイシュイ
ju'inai	cmavo-compound			   	COI*      	匿伏（とくふく） ：心態詞（呼応系）； 自分のことを聞き手に無視してもらいたい； 気づかれたくない	「私のことは放っておいてください」 ・読み方： ジュヒナイ
ju'o	cmavo			   	UI5      	確信 （ ju'o 確信 - ju'ocu'i 不確信 - ju'onai 不可能）	心態詞（修飾系）； それについてよく知っている／確信できる「確かに」「まちがいなく」「lo xalka cu pe'a selklaku je'i kau cniselva'u .i ju'o naje／酒は涙か溜息か、――たしかに溜息だよ。」（山頭火『行乞記（二）』） ・読み方： ジュホ  ・関連語： {birti}, {cumki}
ju'ocu'i	cmavo-compound			   	UI*5      	不確信 （ ju'o 確信 - ju'ocu'i 不確信 - ju'onai 不可能）	心態詞（修飾系）； それについて定かなところはわからない／確信できない「ju'ocu'i mi ga ca'o litru ginai ka'e te pemrxaiku／私は旅に出てゐなければ句は出来ないのかも知れない」（山頭火『行乞記（二）』） ・読み方： ジュホシュヒ
ju'onai	cmavo-compound			   	UI*5      	不可能 （ ju'o 確信 - ju'ocu'i 不確信 - ju'onai 不可能）	心態詞（修飾系）； それについて不可能であると確信する 「ありえない」 ・読み方： ジュホナイ
ju'u	cmavo			   	VUhU2      	進数（数字列 a, 底を b として） ： 数理演算子（2変数）；	・読み方： ジュフ
jy	cmavo			   	BY2      	j ： 字詞；	・読み方： ジャ
ka	cmavo   	-kam-		   	NU      	性質抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する性質を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される性質	「ka prami／愛（という性質）」「ka prami ce'u／愛されるという性質」「ka ce'u prami／愛するという性質」・大意： 抽象： 性質 ・読み方： カ ・語呂合わせ： 性質か ・関連語： {ckaji}
ka'a	cmavo			   	BAI      	～が行って／来て ： klama 法制詞, x_1	・読み方： カハ
ka'e	cmavo			   	CAhA      	できる ： 相制詞（モダリティ）； 内在的可能性；	「ka'e citka／食べれる」 ・読み方： カヘ
kai	cmavo			   	BAI      	～が象徴して ： ckaji 法制詞, x_1	・読み方： カイ
ka'i	cmavo			   	BAI      	～が代表して ： krati 法制詞, x_1	・読み方： カヒ
ka'o	cmavo			   	PA5      	虚数単位（i）／-1の平方根 ： 数量詞；	・読み方： カホ
kau	cmavo			   	UI3a      	間接疑問	心態詞（談話系）； 質問を表す語の直後に付き、その回答を表す。間接疑問の対象；「djuno lo du'u ma kau daspo ti／誰がこれを壊したのかを知っている」 「mi na djuno lo du'u ti mo kau／これが[何であるか／どうなのか／何をしているのか]、私は知らない」 「.e'o ko no da jungau lo du'u mi zvati ma kau／私がどこにいるか誰にも教えないでください」 「loi bangu cu ficysi'u lo ka xo kau da jicmu valsi lo skari ce'u／基本的な色を表す単語がいくつあるかは言語によって異なる」 「.ei do jdice lo du'u xu kau do djica lo nu klama／あなたが行きたいかどうかは、あなたが決めることだ」 ・読み方： カウ
ka'u	cmavo			   	UI2      	文化的知識	心態詞（認識系）； 社会の慣習・伝承・常識に基づいて知っている；「ka'u lo nu lo cticinza gau sanli ne'i lo risykabri cu na se curmi／お茶碗にお箸を立てるのはいけないことよ」 ・読み方： カフ ・関連語： {kluju'o} 
ke	cmavo   	-kem-		   	KE      	tanru グループ開始 ： 境界詞； tanru 内のグループの開始を示す	「melbi ke tsani skari／綺麗な【空の色】」 ・大意： グループ開始 ・読み方： ケ ・関連語： {ke'e}
ke'a	cmavo			   	KOhA7      	関係代項詞 ： 代詞（sumti）； sumti に関係詞で節を繋げる際、その本体の sumti と節の中の特定の sumti とを同一にする；	「lo tcadu poi mi jbena fo ke'a／私が生まれた町」 ・読み方： ケハ
ke'e	cmavo   	-kep-   	-ke'e-	   	KEhE      	tanru グループ終了 ： 境界詞； ke で開かれたグループ範囲を閉じる； 構文上の曖昧性をきたさなければ省略できる；	「melbi ke tsani skari ke'e cinta／綺麗な【空の色】の顔料」 ・大意： グループ終了 ・読み方： ケヘ ・関連語： {ke}
kei	cmavo   	-kez-		   	KEI      	抽象終了 ： 境界詞； NU類で開かれた抽象化範囲を閉じる； 構文上の曖昧性をきたさなければ省略できる	・大意： 抽象終了 ・読み方： ケイ
ke'i	cmavo			   	GAhO      	除外間隔 ： 合間を表す bi'i や bi'o の左か右に付いて、その側の sumti が間隔範疇に含まれないことを表す； 含まれるのを表すのは ga'oi； 「A ga'obi'ike'i B／A（含む）からB（含まない）まで」	・読み方： ケヒ
ke'o	cmavo			   	COI      	どうか復唱を ：心態詞（呼応系）； 相手の言ったことをその相手本人に繰り返し発言するよう求める	「もう一度お願いします」「なんて言ったの？」 ・読み方： ケホ
ke'u	cmavo			   	UI3      	反復 （ ke'u 反復 - ke'unai 展開）	心態詞（談話系）； 以前に言ったことを再び持ち出す「ke'u lo catni cmetcita cu sarcu／身分証明書が必要だってば」 「coi ke'u／また会ったね」 「.ienai ke'u／何度も言うが、私は反対だ」 ・読み方： ケフ ・関連語：  {refbasna}, {krefu}, {rapli}, {velde'a}
ke'unai	cmavo-compound			   	UI*3      	展開 （ ke'u 反復 - ke'unai 展開）	心態詞（談話系）； 以前に言ったことを再び持ち出さずに話をそのまま展開させ続ける 「ti'e do pu cpare la noi cmana kilimanjar --- .i ke'unai mi pukfri lo jvinu be la noi lalxu viktori'as／キリマンジャロ山に登ったんだってね。 --- そしてヴィクトリア湖を観光したよ。」 ・読み方： ケフナイ
ki	cmavo			   	KI      	制詞設定／初期化 ： 間制詞／相制詞／法制詞の右に付いてそれらを以降の文にも効くように設定する、あるいは単独で置いて全ての制詞をリセットする；	「pu ki ku mi klama lo zarci .i penmi ko'o／私は店に行った。彼女に会った」 ・読み方： キ
ki'a	cmavo			   	UI6      	逐語的困惑 （ ki'a 逐語的困惑 - ki'anai 逐語的理解）	心態詞； 語句にたいして不明瞭な点を感じることを表す； xu と違い、語句の真理値は尋ねない；「{ mi penmi ko'a } { ko'a ki'a }／｛彼女に会った。｝｛“彼女”って誰のこと？｝」 ・読み方： キハ  ・関連語： {cfipu}, {kucli}
ki'ai	experimental cmavo			   	COI2      	臨時の間投詞／心態詞。 cmevlaやzoi 引用句を後ろにとり、それを間投／心態詞化する。	関連語： {sa'ei}, {ci'oi}, {tai'i}
ki'anai	cmavo-compound			   	UI*6      	逐語的理解 （ ki'a 逐語的困惑 - ki'anai 逐語的理解）	心態詞； 語句が何を意味しているのかを理解している ・読み方： キハナイ
ki'e	cmavo			   	COI      	感謝 ：心態詞（呼応系）	・読み方： キヘ
ki'enai	cmavo-compound			   	COI*      	不感謝 ：心態詞（呼応系）	相手の好意を受け付けないことを表明する。「mi ba'o facki ki'e nai／自分で見つけたから、もういいよ」 ・読み方： キヘナイ
ki'i	cmavo			   	BAI      	～と同系で ： ckini 法制詞, x_1	・読み方： キヒ
ki'o	cmavo			   	PA3      	数カンマ ： 数量詞； 3桁ずつの区切を表す； 数が伏せられている場合はデフォルトで1,000を表す	・読み方： キホ
ki'u	cmavo			   	BAI      	～を理由として ： krinu 法制詞, x_1； 「to'e ki'u nai」で「～という理由に妨げられることなく」から「～にも関わらず」	・読み方： キフ
ko	cmavo			   	KOhA3      	命令 ： 代詞（sumti）； do の代わりに用いて命令を表す； 「～しろ」から「～してください」まで広いニュアンスをカバーする	{do} に、命令一般を表す心態が追加された代詞。・読み方： コ ・関連語： {ko'oi}; {au}, {a'o}, {e'o}, {e'u}, {e'a}, {ei}; {minde}, {cpedu}, {curmi}, {pacna}, {stidi}, {djica}, {bilga}
ko'a	cmavo			   	KOhA4      	sumti 変数（彼女／彼／其）１ ： 代詞（sumti）； goi で配当する	・読み方： コハ
ko'e	cmavo			   	KOhA4      	sumti 変数（彼女／彼／其）２ ： 代詞（sumti）； goi で配当する	・読み方： コヘ
koi	cmavo			   	BAI      	～を境界として ： korbi 法制詞, x_1	・読み方： コイ
ko'i	cmavo			   	KOhA4      	sumti 変数（彼女／彼／其）３ ： 代詞（sumti）； goi で配当する	・読み方： コヒ
ko'o	cmavo			   	KOhA4      	sumti 変数（彼女／彼／其）４ ： 代詞（sumti）； goi で配当する	・読み方： コホ
