a	cmavo   \nA      \nlogical connective: sumti afterthought or.
banveju'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wji'' (Warji).\nSee also {bangu}
banveku'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wka'' (Kw'adza).\nSee also {bangu}
banvekubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wkb'' (Kumbaran).\nSee also {bangu}
banvekudu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wkd'' (Wakde).\nSee also {bangu}
banvekulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wkl'' (Kalanadi).\nSee also {bangu}
banveku'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wku'' (Kunduvadi).\nSee also {bangu}
banvekuve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wkw'' (Wakawaka).\nSee also {bangu}
banvelu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wla'' (Walio).\nSee also {bangu}
banvelucu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wlc'' (Mwali Comorian).\nSee also {bangu}
banvelu'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wle'' (Wolane).\nSee also {bangu}
banvelugu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wlg'' (Kunbarlang).\nSee also {bangu}
banvelu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wli'' (Waioli).\nSee also {bangu}
banveluje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wly'' (Waling).\nSee also {bangu}
banveluku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wlk'' (Wailaki).\nSee also {bangu}
banvelulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wll'' (Wali (Sudan)).\nSee also {bangu}
banvelumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wlm'' (Middle Welsh).\nSee also {bangu}
banvelunu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wln'' (Walloon).\nSee also {bangu}
banvelu'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wlo'' (Wolio).\nSee also {bangu}
banveluru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wlr'' (Wailapa).\nSee also {bangu}
banvelusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wls'' (Wallisian).\nSee also {bangu}
banvelu'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wlu'' (Wuliwuli).\nSee also {bangu}
banveluve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wlw'' (Walak).\nSee also {bangu}
banveluvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wlv'' (Wichí Lhamtés Vejoz).\nSee also {bangu}
banveluxu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wlx'' (Wali (Ghana)).\nSee also {bangu}
banvemu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wma'' (Mawa (Nigeria)).\nSee also {bangu}
banvemubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmb'' (Wambaya).\nSee also {bangu}
banvemucu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmc'' (Wamas).\nSee also {bangu}
banvemudu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmd'' (Mamaindé).\nSee also {bangu}
banvemu'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wme'' (Wambule).\nSee also {bangu}
banvemu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmi'' (Wamin).\nSee also {bangu}
banvemumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmm'' (Maiwa (Indonesia)).\nSee also {bangu}
banvemunu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmn'' (Waamwang).\nSee also {bangu}
banvemu'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmo'' (Wom (Papua New Guinea)).\nSee also {bangu}
banvemusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wms'' (Wambon).\nSee also {bangu}
banvemutu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmt'' (Walmajarri).\nSee also {bangu}
banvemuve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmw'' (Mwani).\nSee also {bangu}
banvemuxe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmh'' (Waima'a).\nSee also {bangu}
banvemuxu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wmx'' (Womo).\nSee also {bangu}
banvenubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wnb'' (Wanambre).\nSee also {bangu}
banvenucu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wnc'' (Wantoat).\nSee also {bangu}
banvenudu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wnd'' (Wandarang).\nSee also {bangu}
banvenu'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wne'' (Waneci).\nSee also {bangu}
banvenugu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wng'' (Wanggom).\nSee also {bangu}
banvenu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wni'' (Ndzwani Comorian).\nSee also {bangu}
banvenuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wnk'' (Wanukaka).\nSee also {bangu}
banvenumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wnm'' (Wanggamala).\nSee also {bangu}
banvenu'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wno'' (Wano).\nSee also {bangu}
banvenupu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wnp'' (Wanap).\nSee also {bangu}
banvenu'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wnu'' (Usan).\nSee also {bangu}
banve'o'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''woa'' (Tyaraity).\nSee also {bangu}
banve'obu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wob'' (Wè Northern).\nSee also {bangu}
banve'ocu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''woc'' (Wogeo).\nSee also {bangu}
banve'odu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wod'' (Wolani).\nSee also {bangu}
banve'o'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''woe'' (Woleaian).\nSee also {bangu}
banve'ofu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wof'' (Gambian Wolof).\nSee also {bangu}
banve'ogu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wog'' (Wogamusin).\nSee also {bangu}
banve'o'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''woi'' (Kamang).\nSee also {bangu}
banve'oje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''woy'' (Weyto).\nSee also {bangu}
banve'oku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wok'' (Longto).\nSee also {bangu}
banve'olu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wol'' (Wolof).\nSee also {bangu}
banve'omu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wom'' (Wom (Nigeria)).\nSee also {bangu}
banve'onu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''won'' (Wongo).\nSee also {bangu}
banve'o'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''woo'' (Manombai).\nSee also {bangu}
banve'oru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wor'' (Woria).\nSee also {bangu}
banve'osu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wos'' (Hanga Hundi).\nSee also {bangu}
banve'ove	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wow'' (Wawonii).\nSee also {bangu}
banvepucu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wpc'' (Maco).\nSee also {bangu}
banveru'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wra'' (Warapu).\nSee also {bangu}
banverubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrb'' (Warluwara).\nSee also {bangu}
banverudu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrd'' (Warduji).\nSee also {bangu}
banverugu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrg'' (Warungu).\nSee also {bangu}
banveru'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wri'' (Wariyangga).\nSee also {bangu}
banveruje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wry'' (Merwari).\nSee also {bangu}
banverulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrl'' (Warlmanpa).\nSee also {bangu}
banverumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrm'' (Warumungu).\nSee also {bangu}
banverunu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrn'' (Warnang).\nSee also {bangu}
banverupu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrp'' (Waropen).\nSee also {bangu}
banveruru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrr'' (Wardaman).\nSee also {bangu}
banverusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrs'' (Waris).\nSee also {bangu}
banveru'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wru'' (Waru).\nSee also {bangu}
banveruve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrw'' (Gugu Warra).\nSee also {bangu}
banveruvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrv'' (Waruna).\nSee also {bangu}
banveruxe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrh'' (Wiradhuri).\nSee also {bangu}
banveruxu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrx'' (Wae Rana).\nSee also {bangu}
banveruzu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wrz'' (Waray (Australia)).\nSee also {bangu}
banvesu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wsa'' (Warembori).\nSee also {bangu}
banvesu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wsi'' (Wusi).\nSee also {bangu}
banvesuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wsk'' (Waskia).\nSee also {bangu}
banvesuru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wsr'' (Owenia).\nSee also {bangu}
banvesusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wss'' (Wasa).\nSee also {bangu}
banvesu'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wsu'' (Wasu).\nSee also {bangu}
banvesuvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wsv'' (Wotapuri-Katarqalai).\nSee also {bangu}
banvetufu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wtf'' (Dumpu).\nSee also {bangu}
banvetu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wti'' (Berta).\nSee also {bangu}
banvetuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wtk'' (Watakataui).\nSee also {bangu}
banvetumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wtm'' (Mewati).\nSee also {bangu}
banvetuve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wtw'' (Wotu).\nSee also {bangu}
banve'u'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wua'' (Wikngenchera).\nSee also {bangu}
banve'ubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wub'' (Wunambal).\nSee also {bangu}
banve'udu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wud'' (Wudu).\nSee also {bangu}
banve'uje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wuy'' (Wauyai).\nSee also {bangu}
banve'ulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wul'' (Silimo).\nSee also {bangu}
banve'umu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wum'' (Wumbvu).\nSee also {bangu}
banve'unu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wun'' (Bungu).\nSee also {bangu}
banve'uru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wur'' (Wurrugu).\nSee also {bangu}
banve'utu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wut'' (Wutung).\nSee also {bangu}
banve'u'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wuu'' (Wu Chinese).\nCf. {jugbau}, {bancumunu}.
banve'uvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wuv'' (Wuvulu-Aua).\nSee also {bangu}
banve'uxe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wuh'' (Wutunhua).\nSee also {bangu}
banve'uxu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wux'' (Wulna).\nSee also {bangu}
banveve'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wwa'' (Waama).\nSee also {bangu}
banveve'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wwo'' (Wetamut).\nSee also {bangu}
banveveru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wwr'' (Warrwa).\nSee also {bangu}
banveveve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''www'' (Wawa).\nSee also {bangu}
banvexe'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wha'' (Manusela).\nSee also {bangu}
banvexegu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''whg'' (North Wahgi).\nSee also {bangu}
banvexeku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''whk'' (Wahau Kenyah).\nSee also {bangu}
banvexe'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''whu'' (Wahau Kayan).\nSee also {bangu}
banvexu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''wxa'' (Waxianghua).\nSee also {bangu}
banvoksle	lujvo      \ns_1 (phone/speech sounds; specifically is linguistic and vocal) is a phoneme in/of segment of utterance/speech stream s_2=v_1 in language b_1 of speaker v_2=b_2 in order to communicate/express b_3 (si'o/du'u; not quote(?)), produced with body-parts/tools x_6 at loci/in position/manner (of articulation) x_7\nMust be vocal. x2 is a recognized/represented by (belongs to equivalence class of) phoneme x1. Contrast with: {bancocysle} (which is nonvocal). Recognition of a phoneme as linguistically distinct is language-dependent; b1 is a language which includes/recognizes said phoneme (and which realizes/recognizes/categorizes/divides phones s2 into the equivalence class of that phoneme). x6 and x7 are not predictable from the veljvo.
banvokyvelganzu	lujvo      \nx_1 is a phonotactic rule pertaining to/organizing sound(s) x_2 into x_3 in/pertaining to language x_4 proposed/applied by x_5
banvu'a'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vaa'' (Vaagri Booli).\nSee also {bangu}
banvu'a'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vae'' (Vale).\nSee also {bangu}
banvu'afu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vaf'' (Vafsi).\nSee also {bangu}
banvu'agu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vag'' (Vagla).\nSee also {bangu}
banvu'a'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vai'' (Vai).\nSee also {bangu}
banvu'aje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vay'' (Wayu).\nSee also {bangu}
banvu'aju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vaj'' (Vasekela Bushman).\nSee also {bangu}
banvu'alu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''val'' (Vehes).\nSee also {bangu}
banvu'amu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vam'' (Vanimo).\nSee also {bangu}
banvu'anu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''van'' (Valman).\nSee also {bangu}
banvu'a'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vao'' (Vao).\nSee also {bangu}
banvu'apu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vap'' (Vaiphei).\nSee also {bangu}
banvu'aru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''var'' (Huarijio).\nSee also {bangu}
banvu'asu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vas'' (Vasavi).\nSee also {bangu}
banvu'a'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vau'' (Vanuma).\nSee also {bangu}
banvu'avu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vav'' (Varli).\nSee also {bangu}
banvu'axe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vah'' (Varhadi-Nagpuri).\nSee also {bangu}
banvububu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vbb'' (Southeast Babar).\nSee also {bangu}
banvubuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vbk'' (Southwestern Bontok).\nSee also {bangu}
banvu'ecu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vec'' (Venetian).\nSee also {bangu}
banvu'edu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''ved'' (Veddah).\nSee also {bangu}
banvu'elu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vel'' (Veluws).\nSee also {bangu}
banvu'emu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vem'' (Vemgo-Mabas).\nSee also {bangu}
banvu'enu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''ven'' (Venda).\nSee also {bangu}
banvu'e'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''veo'' (Ventureño).\nSee also {bangu}
banvu'epu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vep'' (Veps).\nSee also {bangu}
banvu'eru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''ver'' (Mom Jango).\nSee also {bangu}
banvuguru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vgr'' (Vaghri).\nSee also {bangu}
banvugutu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vgt'' (Vlaamse Gebarentaal).\nSee also {bangu}
banvu'icu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vic'' (Virgin Islands Creole English).\nSee also {bangu}
banvu'idu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vid'' (Vidunda).\nSee also {bangu}
banvu'i'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vie'' (Vietnamese).\nSee also {bangu}
banvu'ifu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vif'' (Vili).\nSee also {bangu}
banvu'igu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vig'' (Viemo).\nSee also {bangu}
banvu'ilu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vil'' (Vilela).\nSee also {bangu}
banvu'inu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vin'' (Vinza).\nSee also {bangu}
banvu'isu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vis'' (Vishavan).\nSee also {bangu}
banvu'itu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vit'' (Viti).\nSee also {bangu}
banvu'ivu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''viv'' (Iduna).\nSee also {bangu}
banvuku'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vka'' (Kariyarra).\nSee also {bangu}
banvuku'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vki'' (Ija-Zuba).\nSee also {bangu}
banvukuju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vkj'' (Kujarge).\nSee also {bangu}
banvukuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vkk'' (Kaur).\nSee also {bangu}
banvukulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vkl'' (Kulisusu).\nSee also {bangu}
banvukumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vkm'' (Kamakan).\nSee also {bangu}
banvuku'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vko'' (Kodeoha).\nSee also {bangu}
banvukupu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vkp'' (Korlai Creole Portuguese).\nSee also {bangu}
banvukutu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vkt'' (Tenggarong Kutai Malay).\nSee also {bangu}
banvuku'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vku'' (Kurrama).\nSee also {bangu}
banvulupu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vlp'' (Valpei).\nSee also {bangu}
banvulusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vls'' (Vlaams).\nSee also {bangu}
banvumu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vma'' (Martuyhunira).\nSee also {bangu}
banvumubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmb'' (Mbabaram).\nSee also {bangu}
banvumucu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmc'' (Juxtlahuaca Mixtec).\nSee also {bangu}
banvumudu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmd'' (Mudu Koraga).\nSee also {bangu}
banvumu'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vme'' (East Masela).\nSee also {bangu}
banvumufu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmf'' (Mainfränkisch).\nSee also {bangu}
banvumugu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmg'' (Minigir).\nSee also {bangu}
banvumu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmi'' (Miwa).\nSee also {bangu}
banvumuje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmy'' (Ayautla Mazatec).\nSee also {bangu}
banvumuju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmj'' (Ixtayutla Mixtec).\nSee also {bangu}
banvumuke	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmq'' (Soyaltepec Mixtec).\nSee also {bangu}
banvumuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmk'' (Makhuwa-Shirima).\nSee also {bangu}
banvumulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vml'' (Malgana).\nSee also {bangu}
banvumumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmm'' (Mitlatongo Mixtec).\nSee also {bangu}
banvumupu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmp'' (Soyaltepec Mazatec).\nSee also {bangu}
banvumuru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmr'' (Marenje).\nSee also {bangu}
banvumusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vms'' (Moksela).\nSee also {bangu}
banvumu'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmu'' (Muluridyi).\nSee also {bangu}
banvumuve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmw'' (Makhuwa).\nSee also {bangu}
banvumuvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmv'' (Valley Maidu).\nSee also {bangu}
banvumuxe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmh'' (Maraghei).\nSee also {bangu}
banvumuxu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmx'' (Tamazola Mixtec).\nSee also {bangu}
banvumuzu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vmz'' (Mazatlán Mazatec).\nSee also {bangu}
banvunuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vnk'' (Vano).\nSee also {bangu}
banvunumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vnm'' (Vinmavis).\nSee also {bangu}
banvunupu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vnp'' (Vunapu).\nSee also {bangu}
banvu'olu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vol'' (Volapük).\nSee also {bangu}
banvu'oru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vor'' (Voro).\nSee also {bangu}
banvu'otu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vot'' (Votic).\nSee also {bangu}
banvuru'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vra'' (Vera'a).\nSee also {bangu}
banvuru'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vro'' (Võro).\nSee also {bangu}
banvurusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vrs'' (Varisi).\nSee also {bangu}
banvurutu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vrt'' (Burmbar).\nSee also {bangu}
banvusu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vsi'' (Moldova Sign Language).\nSee also {bangu}
banvusulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vsl'' (Venezuelan Sign Language).\nSee also {bangu}
banvusuvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vsv'' (Valencian Sign Language).\nSee also {bangu}
banvutu'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vto'' (Vitou).\nSee also {bangu}
banvu'umu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vum'' (Vumbu).\nSee also {bangu}
banvu'unu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vun'' (Vunjo).\nSee also {bangu}
banvu'utu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vut'' (Vute).\nSee also {bangu}
banvuve'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''vwa'' (Awa (China)).\nSee also {bangu}
banxa	gismu   \n-bax-      \nx_1 is a bank owned by/in banking system x_2 for banking function(s) x_3 (event).\nSee also {sorcu}, {zarci}, {canja}, {kagni}.
banxe'a'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''haa'' (Han).\nSee also {bangu}
banxe'abu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hab'' (Hanoi Sign Language).\nSee also {bangu}
banxe'acu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hac'' (Gurani).\nSee also {bangu}
banxe'adu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''had'' (Hatam).\nSee also {bangu}
banxe'a'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hae'' (Eastern Oromo).\nSee also {bangu}
banxe'afu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''haf'' (Haiphong Sign Language).\nSee also {bangu}
banxe'agu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hag'' (Hanga).\nSee also {bangu}
banxe'a'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hai'' (Haida).\nSee also {bangu}
banxe'aje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hay'' (Haya).\nSee also {bangu}
banxe'aju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''haj'' (Hajong).\nSee also {bangu}
banxe'ake	fu'ivla      \nx_1 is the language with ISO 639-3 code ''haq'' (Ha).\nSee also {bangu}
banxe'aku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hak'' (Hakka Chinese).\nSee also {bangu}
banxe'alu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hal'' (Halang).\nSee also {bangu}
banxe'amu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''ham'' (Hewa).\nSee also {bangu}
banxe'anu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''han'' (Hangaza).\nSee also {bangu}
banxe'a'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hao'' (Hakö).\nSee also {bangu}
banxe'apu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hap'' (Hupla).\nSee also {bangu}
banxe'aru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''har'' (Harari).\nSee also {bangu}
banxe'asu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''has'' (Haisla).\nSee also {bangu}
banxe'atu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hat'' (Haitian, Haitian Creole).\nSee also {bangu}
banxe'a'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hau'' (Hausa).\nSee also {bangu}
banxe'ave	fu'ivla      \nx_1 is the language with ISO 639-3 code ''haw'' (Hawaiian).\nSee also {bangu}
banxe'avu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hav'' (Havu).\nSee also {bangu}
