a	cmavo   \nA      \nлогический союз: последующая мысль в sumti: 'или'
jisra	gismu      \nx_1 — сок/нектар из источника/типа x_2 (водный экстракт биологического, вообще говоря, происхождения)\n{pinxe} (пить), {djacu} (вода), {grute} (плод [фрукт]), {stagi} (овощ)
jitfa	gismu   \n-jif-      \nx_1 ({du'u}) ложно/неверно, относительно стандарта/эпистемологии/метафизики x_2\nТакже: ложь, неправда, ложное утверждение; слова, описывающие эпистемологию, обычно имеют место типа {du'u} {fatci} (факт), {stace} (честный), {jetnu} (истина), {cfika} (вымысел)
jitro	gismu   \n-tro-      \nx_1 контролирует/направляет/управляет x_2 в деятельности/событии x_3\nТакже: дирижирует; x_2 — подконтрольные аспекты/индивидуумы в событии/деятельности x_3; «руководит», «заведует», «правит», «распоряжается» в различных ситуациях: {selzuktro}, {selzukfu'e}, {gu'etro}, {gunfu'e}, {xaktro}, {xakfu'e}; начальник/менеджер/босс: {gunterbe'e}, {gunja'a}, {gunmi'e}, {gunca'i} {ji'o}, {bapli} (заставлять), {te} {bende} (команда), {gidva} (вести [направлять/быть лидером]) — не обязательно контролирует или приказывает, {jatna} (лидер), {macnu} (ручной [не автоматический]), {minde} (командовать), {ponse} (владеть), {ralju} (главный), {rinka} (причина [физическая]), {sazri} (управлять [механизмом]), {turni} (править), {vlipa} (могучий), {xance} (кисть [руки]), {xlura} (влиять)
ji'u	cmavo   \nBAI      \nмодальный предлог от jicmu, 1-ое место (допущения);             учитывая то, что/с учётом того, что/если ...; основанный на, ...
jivbu	gismu      \nx_1 ткет/плетет x_2 из материала/{пряжи} x_3\n{fenso} (шить), {nivji} (вязать)
jivna	gismu   \n-jvi-      \nx_1 соревнуется/соперничает/конкурирует с оппонентом x_2 в соревновании/состязании x_3 (событие) за выигрыш x_4\nx_2 — соперник(и), конкурент(ы); x_4 — приз, вознаграждение, признание (выигрыш м.б. как внутренним, так и внешним) {cnemu} (воздавать), {jinga} (выигрывать [побеждать]), {talsa} (оспаривать), {bradi} (враг), {fapro} (противостоять), {kelci} (играть [в игру/игрушку])
jmaji	gismu   \n-jaj-      \nx_1 (масса/{jo'u}) скапливается/собирается/консолидируется/концентрируется в x_2 (где) из x_3 (откуда: масса/{jo'u})\nФокус/средоточие: {seljmaji} {crepu} (собирать [урожай])
jmifa	gismu      \nx_1 — мель/отмель/риф из материала x_2 в водном пространстве x_3\nПороги: {ri'erjmifa}, {ri'ercaxno} {caxno} (мелкий [неглубокий])
jmina	gismu   \n-min-      \nx_1 добавляет/прибавляет x_2 к x_3 с результатом x_4; x_1 увеличивает x_2 на величину x_3\n{zmadu} (превосходить), {banro} (расти), {sumji} (сумма [результат сложения]), {zenba} (возрастать), {setca} (вставлять)
jmive	gismu   \n-miv-   \n-ji'e-      \nx_1 живет/жив, относительно критерия x_2; x_1 — организм, живое сушество\n{lifri} (испытывать [о жизненном опыте]), {morsi} (мертвый), {stuzi} (место [постоянное]), {zvati} (находиться), {xabju} (проживать)
jo	cmavo   \n-jov-   \nJA      \nлогический союз: последующая мысль внутри tanru: &quot;двойное условие/iff/если-и-только-если&quot;
jo'a	cmavo   \nUI3a      \nмеждометие-рассуждение: металингвитстическое подтверждение\nСм. также {drani}.
jo'e	cmavo   \n-jom-   \nJOI      \nне-логический союз: объединение множеств
joi	cmavo   \n-jol-   \n-joi-   \nJOI      \nне-логический союз: смешивающий союз; &quot;и&quot;, означающее &quot;смешанно вместе&quot;, &quot;образуя массу&quot;
jo'i	cmavo   \nJOhI      \nобъединяет операнды математических выражений (mex) в матрицу
joibu	bu-letteral   \nBY*      \nбуквенный символ: знак &quot;амперсанд&quot;; особенно используется для обозначения смешанной связки
jonai	cmavo-compound   \nJA*      \nлогический союз: последующая мысль внутри tanru: &quot;исключающее или&quot;; латинское 'aut'
jo'o	cmavo   \nBY1      \nсдвигает буквенные символы в арабский алфавит
jordo	gismu   \n-jor-   \n-jo'o-      \nx_1 — иорданский в аспекте x_2\n{filso} (палестинский)
jorne	gismu   \n-jon-   \n-jo'e-      \nx_1 соединен с/прикреплен к/сообщается с x_2 общим участком x_3; x_1 и x_2 соединены\nТакже: прикреплен сочленением/креплением/посредством x_3; крепление/сочленение/разъем: {jo'etci}, {jonvelyla'a}; гирлянда/цепочка соединенных предметов: {jonpoi}; {porjo'e} для одного предмета/элемента/звена, входящего в цепочку) {lasna} (прикреплять), {fenso} (шить), {kansa} (вместе), {pencu} (трогать), {penmi} (встречать)
jo'u	cmavo   \n-jo'u-   \nJOI      \nне-логический союз: вместе/совместно/сообща/в совокупности/наряду с (несмешанно)
ju	cmavo   \n-juv-   \nJA      \nлогический союз: последующая мысль внутри tanru: &quot;так-или-не-так&quot;
ju'a	cmavo   \nUI2      \nмеждометие-свидетельство: я заявляю - (по умолчанию) опускаемое/не какое-либо особенное основание\nСм. также {xusra}.
jubme	gismu   \n-jub-   \n-jbu-      \nx_1 — стол/твердая плоскость из материала x_2, поддерживаемый ножками/основанием/пьедесталом x_3\n{ckana} (кровать), {jamfu} (ступня), {nilce} (мебель), {zbepi} (подставка), {tsina} (подмостки), {stizu} (стул [сиденье])
judri	gismu      \nx_1 — адрес/координаты x_2 (чего) в системе x_3\n{tcita} (метка), {cmene} (имя), {ciste} (система), {stuzi} (место [постоянное])
ju'e	cmavo   \nJOI      \nнечёткий не-логический союз: аналогичен простому &quot;.i&quot;
ju'ei	experimental cmavo   \nJUhEI      \nразделитель bridi с узкой областью охвата; аналогичен {.i}, но не завершает при этом абстракцию или придаточное предожение.\n'nu broda ju'ei brode' эквивалентно 'nu ju'e gi broda gi brode'. Аналогично тому, как 'ko'a noi broda ju'ei brode' эквивалентно 'ko'a noi ju'e gi broda gi brode'.
jufra	gismu   \n-juf-   \n-ju'a-      \nx_1 (текст) есть предложение/высказывание/фраза об x_2 (тема/предмет/предикат/фокус) на языке x_3\nОборот речи, выражение: {jufpau}, {suzrelvla}, {suzvla}, {gensle} {valsi} (слово), {bangu} (язык [лингвистический]), {gerna} (грамматика), {cusku} (говорить [кому-либо]), {smuni} (значение [смысл])
ju'i	cmavo   \nCOI      \nзвательная частица: внимательность - вольно - игнорируй меня
ju'icu'i	cmavo-compound   \nCOI*      \nзвательная частица: внимательность - вольно - игнорируй меня
ju'inai	cmavo-compound   \nCOI*      \nзвательная частица: внимательность - вольно - игнорируй меня
jukni	gismu   \n-juk-      \nx_1 — паук/паукообразное/{ракообразное/не-насекомое членистоногое} вида/разновидности x_2\n{cinki} (насекомое), {danlu} (животное)
jukpa	gismu   \n-jup-      \nx_1 стряпает/готовит пищу x_2 по рецепту/методу x_3 (процесс); x_1 — повар/кок\nТепловая обработка пищи: {glajukpa}, {glaterjukpa}; запекать/выпекать: {tokyjukpa}; жарить: {rasyjukpa} {cupra} (производить), {bredi} (готовый [к чему-либо])
julne	gismu   \n-ju'e-      \nx_1 — сеть/сито/фильтр, пропускающая x_2, задерживающая x_3, обладающая свойствами x_4\n{komcu} (гребень), {ciste} (система), {jgena} (узел)
jundi	gismu   \n-jud-   \n-ju'i-      \nx_1 внимателен к/уделяет внимание объекту/занятию x_2\n{kurji} (заботиться), {zvati} (находиться)
jungo	gismu   \n-jug-      \nx_1 — китайский (ханьский, кантонский и т.д.) в аспекте x_2\n{xazdo} (азиатский)
junla	gismu   \n-jul-      \nx_1 — часы/хронометр/таймер/секундомер, отмеряющий единицы времени x_2 с точностью x_3, с помощью механизма/метода x_4\n{cacra} (час), {mentu} (минута), {snidu} (секунда), {tcika} (время [события]), {temci} (время [промежуток])
junri	gismu   \n-jur-      \nx_1 (лицо) серьезно/основательно/нешуточно относится к/рассматривает x_2 (событие/состояние/деятельность)\nТакже: торжественный: {ri'irjunri}, основательный/истовый: {tcejunri}, мрачный: {drijunri} {tilju} (тяжелый [массивный]), {xalbo} (легкомысленный), {badri} (грустный), {ritli} (ритуал)
junta	gismu      \nx_1 — вес объекта x_2 в (гравитационном или другом силовом) поле x_3; x_2 весит x_1\n{grake} (грамм), {linto} (легкий [масса/вес]), {tilju} (тяжелый [массивный]), {bunda} (весить [в неметрических единицах])
ju'o	cmavo   \nUI5      \nмодификатор междометия: уверенность - неуверенность - невозможность\nСм. также {birti}, {cumki}.
ju'ocai	cmavo-compound   \nUI*5      \nмодификатор междометия: интенсивная уверенность
ju'ocu'i	cmavo-compound   \nUI*5      \nмодификатор междометия: уверенность - неуверенность - невозможность\nСм. также {birti}, {cumki}.
ju'onai	cmavo-compound   \nUI*5      \nмодификатор междометия: уверенность - неуверенность - невозможность\nСм. также {birti}, {cumki}.
ju'opei	cmavo-compound   \nUI*6      \nмеждометие: вопрос относительно уверенности
jurme	gismu   \n-jum-      \nx_1 — бактерия/микроб/амеба/одноклеточный организм вида/разновидности/{определяемый свойством} x_2\n{vidru} (вирус)
jursa	gismu   \n-jus-      \nx_1 (событие/действие/состояние) сурово/тяжко/{строго} для x_2 (жертва/терпящий)\n{gunta} (нападать), {vlile} (яростный)
jutsi	gismu   \n-jut-      \nx_1 — вид рода x_2, семейства x_3 и т.д.\nОткрытая древообразная классификация; Также: подвид, отряд, класс; аргументы не соответствуют конкретным уровням в иерархии; скорее x_1 «ниже», чем x_2, x_2 «ниже», чем x_3, и т.д.; пропуск аргумента означает тем самым, что между двумя местами есть один или более не указанных уровней иерерхии; не ограничивается Линнеевской классификацией растений/животных {klesi} (класс), {lanzu} (семья)
ju'u	cmavo   \nVUhU2      \nбинарный математический оператор: основание системы счисления; [a интерпретируется по основанию b]
juxre	gismu   \n-jux-      \nx_1 (действие) — неловкое/неуклюжее по стандарту x_2\n{sluji} (мышца), {muvdu} (двигаться)
jvinu	gismu   \n-vin-   \n-ji'u-      \nx_1 — вид/сцена/панорама объекта/места x_2 с точки наблюдения x_3\n{catlu} (смотреть [на что-либо]), {kanla} (глаз), {viska} (видеть), {canko} (окно), {jarco} (показывать [демонстрировать])
jy	cmavo   \nBY2      \nбуквенный символ для j
ka	cmavo   \n-kam-   \nNU      \nабстрактор: абстрактор свойства/качества (русские окончания -ость, ств(о)); x_1 - это качество/свойство, проявляемое [bridi] (чем)
ka'a	cmavo   \nBAI      \nмодальный предлог от klama, 1-ое место                            к которому движется, ...
ka'ai	experimental cmavo   \nBAI      \nмодальный предлог от kansa, 1-ое место; с ...(кем/чем)/в сопровождении ...(кого/чего)\nСм. также {kansa}
kabri	gismu      \nx_1 — чашка/стакан/бокал/кубок/кружка/{чаша} с содержимым x_2, из материала x_3\nx_2: содержимое м.б. потенциальным: «для x_2»; [kabri] обычно подносят ко рту при питье и еде, {palta} — нет {palta} (тарелка), {citka} (есть), {blaci} (стекло), {tansi} (миска)
kacma	gismu      \nx_1 — фотокамера/фотоаппарат, фиксирующая изображение в лучах вида x_2 на носителе x_3\n{lenjo} (линза)
kadno	gismu      \nx_1 — канадский в аспекте x_2\n{bemro} (североамериканский), {glico} (английский)
ka'e	cmavo   \nCAhA      \nмодальный аспект: свойственно/врождённо/природно способный на; возможно, нереализовано
kafke	gismu      \nx_1 кашляет/рыгает/пердит, испуская продукт x_2 (преимущественно газ) из отверстия x_3\n{bilma} (больной), {senci} (чихать), {sputu} (плевать), {vamtu} (блевать)
kagni	gismu   \n-kag-      \nx_1 — фирма/компания/корпорация, учрежденная x_2 (кем) с целью x_3\nТакже: предприятие/организация (обладающая уставом) {kansa} (вместе), {kamni} (комиссия [комитет]), {banxa} (банк), {bende} (команда)
kai	cmavo   \nBAI      \nмодальный предлог от ckaji, 1-ое место                            характеризуя, ...
ka'i	cmavo   \nBAI      \nмодальный предлог от krati, 1-ое место                            представленный ..., (кем/чем)
kaidji	lujvo      \nx_1 хочет быть/делать x_2 (ka) с целью x_3\nka-версия слова {djica}.
kajde	gismu   \n-jde-      \nx_1 (событие/переживание) служит предостережением/предупреждением/сигналом для x_2 (лицо) об опасности x_3 (событие/состояние/свойство)\nДеятельное предостережение: {jdegau}, {jdezu'e}; попытка предостеречь, допускающая неудачу: {jdetoi}, {jdegautoi}, {jdezuktoi} {ckape} (опасный), {nupre} (обещать), {snura} (защищенный [в безопасности]), {tcica} (обманчивый), {xlura} (влиять)
kajna	gismu      \nx_1 — полка/прилавок/лавка, прикрепленная к опоре x_2 и предназначенная для x_3\n{balni} (балкон)
kakne	gismu   \n-ka'e-      \nx_1 может/в состоянии/способен сделать/быть/стать x_2 (событие/состояние) в условиях x_3 (событие/состояние)\nТакже: имеет талант/способности, умеет, знает как (ноу-хау); умеет пользоваться: {plika'e} {stati} (талант), {certu} (эксперт), {gasnu} (делать) (во вневременном потенциальном смысле), {ka'e}, {nu'o}, {pu'i}, {djuno} (знать), {zifre} (свободный)
kakpa	gismu      \nx_1 выкапывает/выгребает x_2 (материал) из x_3 (источник/яма) частями тела/инструментом x_4\nТакже: x_1 врезается/вгрызается в x_3 (с изъятием материала) {katna} (разрезать), {plixa} (пахать), {sraku} (царапать), {canpa} (лопата), {sraku} (царапать)
kalci	gismu      \nx_1 — экскременты/фекалии/помет/навоз/кал/дерьмо животного/лица x_2\nПрилагательное: x_1 — фекальный {ganxo} (задний проход), {pinca} (моча), {vikmi} (испражняться), {mabla} (негативный [о значении/смысле слова]), {festi} (отходы)
kalpupila	fu'ivla      \nx_1 - это зрачок глаза x_2 (кого)\nСм. {kanla}
kalri	gismu   \n-kar-      \nx_1 (проход/путь) открыт, давая доступ к x_2 x_3 (чему)\nНапример, дверь. См. {ganlo} - 'закрытый', {pagre} - 'проникать (проходить сквозь)', {canko} - 'окно', {vorme} - 'дверь'
kalsa	gismu   \n-kas-      \nx_1 хаотичен/беспорядочен/неупорядочен по свойству x_2 ({ka})\n{cunso} (случайный), {cnici} (упорядоченный)
kalte	gismu   \n-kat-      \nx_1 охотится на/промышляет дичь x_2 с целью x_3\nОхотник: {katpre}; рыбачить: {fipkalte}; рыбак: {fipkatpre} {jersi} (преследовать), {kavbu} (ловить), {sisku} (искать), {rivbi} (избегать [участи])
kamju	gismu      \nx_1 — колонна/столб из материала x_2\nПозвоночник: {bogykamju}, позвонок: {kamjybo'u} {ckana} (кровать), {garna} (рельс), {sanli} (стоять), {slanu} (цилиндр)
kamni	gismu      \nx_1 — комиссия/комитет/совет с функцией/назначением x_2, состоящая из x_3\nСовет директоров, кабинет: {trukamni}, {gritrukamni} {bende} (команда), {kagni} (фирма)
kampu	gismu   \n-kau-      \nx_1 ({ka}) — общее/универсальное свойство среди членов множества x_2 (полное описание)\n{cafne} (часто), {rirci} (нетипичный), {fadni} (типичный), {cnano} (нормальный), {tcaci} (обычай), {lakne} (вероятный), {cmima} (член), {simxu} (взаимный)
kamxada	fu'ivla      \nx_1 - это товарищ/соратник/компаньон/напарник/партнёр x_2 (кого), связанный x_3 (ka, чем)\nОтличается от {pendo} беспристрастностью, связанностью благодаря x3. Отличается от {kansa} наличием привязанности и эмпатии.
kanba	gismu      \nx_1 — коза/козел/козленок вида/породы x_2\n{lanme} (овца), {sunla} (шерсть)
kanbyma'i	lujvo      \nx_1 - это январь/1-ый месяц года x_2 по календарю x_3\nСм. {pavrelmasti}, {nanca}
kancu	gismu   \n-kac-      \nx_1 пересчитывает элементы множества x_2 и получает в результате x_3, отсчитывая по x_4 единиц; x_1 получает при подсчете элементов множества x_2 результат x_3, отсчитывая по x_4 единиц\nx_2 — полное описание множества {kanji} (вычислять), {satci} (точный [об измерении]), {merli} (измерять)
kandi	gismu   \n-kad-      \nx_1 — тусклый/бледный/ненасыщенный/неинтенсивный в отношении свойства x_2 ({ka}) в восприятии/по измерениям наблюдателя x_3\nВ отношении цвета — ненасыщенный, бледный, пастельный (хотя {blabi} тоже может означать бледный оттенок цвета) {blabi} (белый), {carmi} (интенсивный), {klina} (прозрачный), {linto} (легкий [масса/вес]), {manku} (темный), {murse} (сумерки), {ruble} (слабый), {skari} (иметь цвет), {milxe} (умеренный), {blanu} (синий), {bunre} (коричневый), {cicna} (бирюзовый), {crino} (зеленый), {grusi} (серый [цвет]), {narju} (оранжевый), {nukni} (пурпурный), {pelxu} (желтый), {xekri} (черный), {xunre} (красный), {zirpu} (сиреневый)
kanguru	fu'ivla      \nx_1 - кенгуру вида/породы x_2.\nСм. {daskymabru}, {daskycribe}, {sralo}, {plipe}.
kanji	gismu   \n-kaj-      \nx_1 вычисляет x_2 (значение {ni}/состояние) из данных x_3 посредством процесса x_4\n{kancu} (пересчитывать), {jdice} (решать [принимать решение]), {skami} (компьютер)
kanla	gismu   \n-kal-      \nx_1 — глаз (часть тела) x_2\nМетафора: сенсорный аппарат {jvinu} (вид [панорама]), {kerlo} (ухо), {viska} (видеть), {kumte} (верблюд)
kanpe	experimental gismu      \nx_1 ожидает x_2 (событие) с ожидаемой вероятностью x_3 (0-1, по умолчанию {li} {so'a}, т.е. около 1); x_1 субъективно оценивает вероятность x_2 (события) в x_3; x_1 субъективно считает, что x_2 (событие) имеет вероятность x_3\nЗначение x_3 - это субъективная оценка вероятности согласно x_1 (кому-либо/чему-либо), и является решающим фактором, означает ли kanpe что-то вроде &quot;надежды&quot;, &quot;желания&quot; или &quot;ожидания&quot;, хотя kanpe совершенно не подразумевает желания; для соответствующего значения см. {pacna}. kanpe с x_3 не очень близкой к 1 не имеет простого эквивалента в русском языке, но для объектов/состояний с незначительным ожиданием оно означает что-то вроде &quot;желания&quot;; если состояние правдоподобно, то это что-то вроде &quot;надежды&quot;. В обоих случаях, однако, русские слова подразумевают эмоциональное желание, однако этот компонент отсуствует в значении слова kanpe. Значение обычно выражается с использованием неточных чисел (от &quot;{li} {piso'u}&quot; до &quot;{li} {piro}&quot;); не имеющее оттенка желанности желание или надежда. См. также {djica}, {pacna}, {cunso}.
kanro	gismu   \n-ka'o-      \nx_1 здоров/находится в хорошей форме, относительно стандарта x_2\n{bilma} (больной), {mikce} (лечить)
kansa	gismu   \n-kan-      \nx_1 сопровождает/соучаствует с/присоединяется к x_2 в состоянии/предприятии/деле x_3 (событие/состояние)\nТакже: x_1 вместе/заодно с x_2 {kagni} (фирма), {jorne} (соединенный), {gunma} (масса [единое целое]), {girzu} (группа), {lasna} (прикреплять)
kantaro	fu'ivla      \nx_1 - это морской лещ вида/разновидности x_2\nСм. также {finpe}
kantu	gismu   \n-ka'u-      \nx_1 — квант/элементарная частица/мельчайшее измеримое приращение свойства/активности x_2\n{selci} (частица [неделимая]) для масс и большинства объектов; {ratni} (атом), {gradu} (градус), {gusni} (свет), {nejni} (энергия), {linji} (линия)
kanxe	gismu   \n-kax-      \nx_1 — конъюнкция: утверждение, что как x_2 ({du'u}), так и x_3 ({du'u}) вместе истинны\n{vlina} (дизъюнкция)
ka'o	cmavo   \nPA5      \nцифра/число: мнимое i, мнимая единица; квадратный корень из -1 (если идет без других цифр); служит также для отделения вещественной части от мнимой в представлении комплексных чисел
ka'orta	fu'ivla      \nx_1 - это морковь вида/разновидности/сорта x_2\nСм. {najgenja}
kapsiku	fu'ivla      \nx_1 - это красный стручковый перец (чили)/паприка (Capsicum) вида/разновидности x_2.\nСм. также {cpina}, {spatrpiperi}, {tamca}, {patlu}, {tanko}, {mlongena}
karbi	gismu   \n-kab-      \nx_1 (наблюдатель) сравнивает x_2 с x_3 по свойству x_4 ({ka}), приходя к результату/заключению x_5 (состояние)\n{klani} (количество), {mapti} (подходить), {sarxe} (гармонировать), {zmadu} (превосходить), {mleca} (меньше), {dunli} (равный)
karce	gismu      \nx_1 — автомобиль/грузовик (колесный моторизованный экипаж), для перевозки x_2 (чего), приводимый в движение x_3 (чем)\n{carce} (повозка), {xislu} (колесо), {marce} (транспорт), {sabnu} (кабина)
karda	gismu      \nx_1 — карточка (маленькая, практически 2-мерная форма) из материала x_2, формы x_3\nФорма x_3 по умолчанию прямоугольная {matci} (матрац), {tapla} (плитка), {plita} (плоскость)
kargu	gismu      \nx_1 (объект/товар/собственность/событие) — дорогостоящий/дорогой/ценный для x_2 относительно стандарта/критерия x_3\nx_1 м.б. конкретным объектом, товаром (масса), событием, или свойством; строго говоря, для объектов/товаров мы имеем дело с подъемом sumti от владения объектом/товаром: {poskargu} для однозначной семантики; «дорогой» в эмоциональном смысле — {dirba} {vamji} (ценность [стоимость]), {dirba} (милый), {vajni} (важный [имеющий значение]), {jdima} (цена), {pleji} (платить), {canja} (обменивать), {jerna} (зарабатывать), {jinga} (выигрывать [побеждать]), {jemna} (самоцвет), {sfasa} (наказывать), {vecnu} (продавать)
karinas	cmevla      \nКарина (русское женское имя)
karkaju	fu'ivla      \nx_1 - это росомаха разновидности x_2.\nСм. {mabru}
karli	gismu      \nx_1 — пояс/воротник/повязка/манжета/ожерелье/галстук/ошейник вокруг x_2, сделанный из материала x_3\nСм. сфинктер {sruri} (окружать), {djine} (кольцо)
karnavali	fu'ivla      \nx_1 - карнавал, посвящённый x_2 (чему)
karni	gismu      \nx_1 — журнал/периодическое издание/{газета} с содержанием x_2, публикуемый x_3 (кем) для аудитории x_4\nx_2 м.б. тема, однако не все журналы специализируются на одной теме; тем не менее, подбор содержания всегда характеризуется каким-то принципом; таким образом, x_2 не обязательно список тем {papri} (страница), {pelji} (бумага), {tcidu} (читать)
katna	gismu   \n-ka'a-      \nx_1 (орудие/лезвие/сила) разрезает объект x_2 на части/куски x_3\nВ случае x_1 – силы — это сила, действующая *как* лезвие, а не *на* лезвие; деятельное разрезание: {ka'argau}, {ka'arzu'e} {kakpa} (выкапывать), {sraku} (царапать) для резания без разделения на части; {plixa} (пахать), {dakfu} (нож), {jinci} (ножницы), {porpi} (разваливаться), {spofu} (сломанный [испорченный, негодный]), {tunta} (колоть), {xrani} (вредить), {fatri} (распределяться), {fendi} (делить [разделять]), {balre} (клинок), {dilcu} (частное [от деления])
katxodi	fu'ivla      \nx_1 - это катод/отрицательный электрод.\nСм. также {anxodi}, {ionti}
kau	cmavo   \nUI3a      \nмеждометие-рассуждение: помечает слово, служащее фокусом непрямого вопроса: &quot;Я знаю, КТО пошёл в магазин&quot;
ka'u	cmavo   \nUI2      \nмеждометие-свидетельство: я знаю согласно культуре (миф или обычай)\nСм. также {kluju'o}.
kauvboi	fu'ivla      \nx_1 - это ковбой/девушка-ковбой/человек, связанный с культурой ковбоев x_2 согласно стандарту x_3.\nНе относящееся к культурным особенностям специфическое использование (={xirbakyku'i}).
kavbu	gismu   \n-kav-      \nx_1 ловит/захватывает/задерживает x_2 ловушкой/орудием x_3\nЛовить на лету: {rerkavbu} {jersi} (преследовать), {kalte} (охотиться), {pinfu} (пленник), {sisku} (искать), {se} {rinju} (удерживаться [от чего-либо])
ke	cmavo   \n-kem-   \nKE      \nначинает группирование tanru, и т.д.; ... тип  ... (чего); отменяет левое группирование tanru по умолчанию
ke'a	cmavo   \nKOhA7      \npro-sumti: sumti в придаточном (объект или придаточное предложение)
kecti	gismu   \n-kec-   \n-ke'i-      \nx_1 сочувствует/сострадает/жалеет/{соболезнует} x_2 (лицу) по поводу x_3 (абстракция)\n{cinmo} (эмоциональный), {xendo} (добрый)
ke'e	cmavo   \n-kep-   \n-ke'e-   \nKEhE      \nопускаемый терминатор: конец отмены левой группировки tanru по умолчанию (обычно опускаемо)
kei	cmavo   \n-kez-   \nKEI      \nопускаемый терминатор: конец bridi-абстракции (обычно опускаемый)
ke'i	cmavo   \nGAhO      \nмаркёр интервала с открытыми скобками; модифицирует интервалы в не-логических союзах; исключает границы интервала
kelci	gismu   \n-kel-   \n-kei-      \nx_1 играет в игру/с игрушкой x_2\nИгра по правилам: {ci'erkei}, соревновательная игра: {jvikei} {jivna} (соревноваться), {jinga} (выигрывать [побеждать]), {zdile} (развлекать)
kelvo	gismu   \n-ke'o-      \nx_1 имеет температуру x_2 (по умолчанию 1) градусов Кельвина (метрическая единица) по стандарту x_3\n{gradu} (градус), {centi} (санти), {decti} (десятый [доля 1/10]), {dekto} (дека), {femti} (фемто), {gigdo} (гига), {gocti} (йокто), {gotro} (йотта), {kilto} (кило), {megdo} (мега), {mikri} (микро), {milti} (милли), {nanvi} (нано), {petso} (пета), {picti} (пико), {terto} (тера), {xatsi} (атто), {xecto} (гекто), {xexso} (экса), {zepti} (зепто), {zetro} (зетта)
kenka	experimental gismu      \nk_1 - это торт/пирог, сделанный из ингредиентов k_2 (множество), приготовленный методом k_3 (событие)\nСм. {titnanba}, {jupypesxu}, {rutytisna}
kenra	gismu   \n-ken-      \nx_1 — рак/злокачественное заболевание у/в x_2\n{bilma} (больной), {mikce} (лечить), {spita} (больница)
kensa	gismu   \n-kes-      \nx_1 — (космическое) пространство, окружающее/прилегающее к/связанное с x_2 (небесное тело/регион)\n{canlu} (объем), {munje} (мир [вселенная]), {terdi} (земля [планета Земля]), {tsani} (небо)
kentauru	fu'ivla      \nx_1 - это кентавр, человек-лошадь\nСм. {xirma}, {remna}
ke'o	cmavo   \nCOI      \nзвательная частица: пожалуйста,повтори
kerfa	gismu   \n-kre-      \nx_1 — волос/волосы/шерсть/мех (часть тела) x_2 на участке тела x_3\n{skapi} (кожа), {sunla} (шерсть), {pimlu} (перо)
kerlo	gismu   \n-ker-      \nx_1 — ухо (часть тела) x_2\nМетафора: сенсорный аппарат, сбор информации {kanla} (глаз), {savru} (шум), {smaji} (молчать), {tirna} (слышать), {ractu} (заяц)
kernauke	fu'ivla      \nx_1 - корнуоллский в аспекте x_2
kernelo	fu'ivla      \nx_1 is a сердцевина/ядро/центр of x_2; x_1 - центральный\nСм. также {centero}, {midju}
ketco	gismu   \n-ket-   \n-tco-      \nx_1 — южноамериканский в аспекте x_2\n{merko} (американский [США]), {xispo} (латиноамериканский), {brazo} (бразильский), {gento} (аргентинский), {spano} (испанский)
ke'u	cmavo   \nUI3      \nмеждометие-рассуждение: повторяя - продолжая\nСм. также {refbasna}, {krefu}, {rapli}, {velde'a}.
ke'unai	cmavo-compound   \nUI*3      \nмеждометие-рассуждение: повторяя - продолжая\nСм. также {refbasna}, {krefu}, {rapli}, {velde'a}.
kevna	gismu   \n-kev-   \n-ke'a-      \nx_1 — впадина/выемка/каверна/полость/углубление в x_2; x_2 — вогнутый/полый в участке x_1\nТакже: яма, ямка, пещера, дупло, лунка; пустотелый: {selke'a} {fenra} (трещина), {kunti} (пустой), {canlu} (объем), {canko} (окно), {galxe} (горло), {tubnu} (трубка)
ki	cmavo   \nKI      \nинтервал/модальное слово: устанавливает/использует время по умолчанию; устанавливает новый открытый базис охвата пространства/времени/модальности/формы
ki'a	cmavo   \nUI6      \nмеждометный вопрос: смущение относительно чего-либо сказанного\nСм. также {cfipu}, {kucli}.
ki'ai	experimental cmavo   \nCOI2      \nПреобразует следующую cmevla или zoi-цитату в междометие/восклицание специально для данного случая\nСм. также {sa'ei}, {ci'oi}, {tai'i}.
ki'anai	cmavo-compound   \nUI*6      \nне-вопрос: понимание чего-либо сказанного
kibro	experimental gismu      \nx_1 принадлежит интернету/киберпространству в аспекте x_2.\nПредложено автором xorxes. Краткое rafsi - '-kib-'. Ср. {mujysamseltcana}.
kicne	gismu   \n-kic-   \n-ki'e-      \nx_1 — подушка/подстилка/подкладка под x_2 из материала/набитая материалом x_3\n{ckana} (кровать), {matci} (матрац)
ki'e	cmavo   \nCOI      \nзвательная частица: спасибо - не благодарю тебя
ki'enai	cmavo-compound   \nCOI*      \nзвательная частица: спасибо - не благодарю тебя
ki'i	cmavo   \nBAI      \nмодальный предлог от ckini, 1-ое место (имея отношение к)               в отношении/по отношению к; как отношение к, ...
kijno	gismu   \n-kij-      \nx_1 — кислород (O); x_1 содержит кислород\nМетафора: поддержание жизни, горение {jelca} (гореть), {vacri} (воздух), {vasxu} (дышать)
