agmasto	fu'ivla      \nx_1 estas masto de ŝipo x_2\nRigardu ankaŭ {bloti}
dandu	gismu   \n-dad-      \nx_1 pendas de x_2 per/ĉe/kun artiko x_3\nBreloko (= {dadja'i}); ankaŭ dependa (originala signifo). Vidu ankaŭ {lasna}, {jorne}.
danfu	gismu   \n-daf-      \nx_1 estas la respondo/solvo [repliko] al demando/problemo x_2\n(kp. ciksi, frati, preti, nabmi, spuda por aganta respondo/repliko, cpedu)
danlu	gismu   \n-dal-   \n-da'u-      \nx_1 estas besto/animalo/kreito de speco x_2; x_1 estas biologie vivanta\nVidu ankaŭ {banfi}, {cinki}, {cipni}, {finpe}, {jukni}, {respa}, {since}, {mabru}, {bakni}.
danmo	gismu   \n-dam-      \nx_1 konsistas el/enhavas/estas kvanto da fumo/aera malpuraĵo el fonto x_2\nx_2 povas esti fajro.  Vidu ankaŭ {pulce}, {gapci}, {sigja}, {bumru}.
danre	gismu   \n-da'e-      \nx_1 (forto) premas x_2\nAge premi/depremi (= {da'ergau}, {da'erzu'e}).  Vidu ankaŭ {catke}, {bapli}, {prina}, {tinsa}.
dansu	gismu      \nx_1 (unuopulo, amaso) dancas laŭ akompano/muziko/ritmo x_2\nVidu ankaŭ {bende}, {zgike}, {zajba}.
danti	gismu   \n-dan-      \nx_1 estas balistika ĵetaĵo [ekz. kuglo/misilo] por pafiĝi per [pafilo/pela lanĉilo] x_2\nAnkaŭ: kanonkuglo, katapulta ŝtono, kugletaĵo(j).  Vidu ankaŭ {cecla}, {renro}, {jakne}.
daplu	gismu   \n-plu-      \nx_1 estas insulo/atolo el [materio/kvalitoj] x_2 en ĉirkaŭaĵo/korpo x_3; x_1 estas insula\nVidu ankaŭ {lalxu}, {rirxe}, {xamsi}, {dirgo}.
dapma	gismu   \n-dap-      \nx_1 malbenas/damnas/kondamnas x_2-on je sorto (okazo) x_3\nMalbeni per specifa esprimo (= {dapsku}).  Vidu ankaŭ {mabla}, {dimna}, {cnemu}, {sfasa}, {dunda}, {cusku}, {cirko}, {jdima}.
dargu	gismu   \n-dag-      \nx_1 estas vojo/ŝoseo al x_2 de x_3 kun kurso x_4 (x_2/x_3 povas esti senorda)\nOfte uzata, por uzado plibonigita supraĵo por veturado.  Vidu ankaŭ {naxle}, {tcana}, {pluta}, {klaji}.
darlu	gismu   \n-dau-      \nx_1 debatas por pozicio x_2 kontraŭ pozicio x_3; [kontraŭulo ne necesas]\nVidu ankaŭ {fapro}, {jamna}, {sarji}, {talsa}, {sumti}, {tugni}, {casnu}, {damba}, {bradi}, {tavla}.
darno	gismu   \n-dar-   \n-da'o-      \nx_1 estas malproksima/fora de x_2 en kvalito x_3 (ka)\nVidu ankaŭ {jibni}.
darsi	gismu      \nx_1 audacas en konduto x_2 (okazo/agado); x_1 kuraĝas/maltimas esti x_2/fari x_2-on (okazo/ka)\nx_1 estas brava/sentima.  Vidu ankaŭ {virnu}.
darxi	gismu   \n-dax-   \n-da'i-      \nx_1 frapas/trafas/[batas] x_2-on per ilo [aŭ korpo-parto] x_3 ĉe loko x_4\nVidu ankaŭ {bikla}, {gunta}, {jenca}, {tunta}, {tikpa}, {janli}, {jgari}, {pencu}.
daski	gismu      \nx_1 estas poŝo de/en vesto/ero x_2\nVidu ankaŭ {dakli}, {taxfu}, {bakfu}.
dasni	gismu   \n-das-      \nx_1 portas/estas envestiĝinta/enrobiĝinta en x_2 kiel vesto de speco x_3\nx_2 ne necese estas destinita por uzado kiel vesto (malkiel taxfu).  Vidu ankaŭ {taxfu}.
daspo	gismu   \n-spo-      \nx_1 (okazo) detruas/ruinigas/difektas/rompas/frakasas x_2-on; x_1 estas detruema\nVidu ankaŭ {spofu}, {xrani}, {marxa}, {zalvi}, {xaksu}.
dasri	gismu   \n-sri-      \nx_1 estas strio/rubando/bendo/zono/vindo el materialo x_2\nVidu ankaŭ {djine}.
datka	gismu      \nx_1 estas anaso de speco/raso x_2\nVidu ankaŭ {cipni}.
datni	gismu      \nx_1 (du'u) [fakto/mezuro] estas informo/indiko/sciaĵo/dateno pri x_2 kolektita per metodo x_3\nAnkaŭ: statistiko/statistikero; pruvo (= velji'i datni aŭ nur velji'i, sidydatni). Vidu ankaŭ {fatci}, {saske}, {vreji}.
decti	gismu   \n-dec-      \nx_1 estas dekono [1/10; 1x_10**-1] de x_2 laŭ dimensio/aspekto x_3 (defaŭlte unuoj)\n(kp. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi,petso,picti, terto, xatsi, xecto, xexso, zepti, zetro)
degji	gismu   \n-deg-      \nx_1 estas fingro [korpoparto] en membro/korpa loko x_2 de korpo x_3; [metafore: peninsula]\nFingro (= {xandegji}), piedfingro (= {jmadegji}).  Vidu ankaŭ {nazbi}, {tamji}, {tance}, {xance}.
dejni	gismu   \n-dej-      \nx_1 ŝuldas x_2-on al kreditoro x_3 kompense de x_4 [servo, pruntaĵo]; x_1 estas debitoro\nVidu ankaŭ {jbera}, {janta}, {zivle}.
dekpu	gismu      \nx_1 estas x_2 (defaŭlte 1) lokaj unuoj de volumeno [ne-metra; ekz. buŝelo], normo x_3, x_4 subunuoj\nGaljono (= {likydekpu}), kvarto (= {likseldekpu}), barelo (malseka = likybradekpu, seka = sudbradekpu), buŝelo (= {sudydekpu}), dugaljono (= {sudyseldekpu}), plentaso (= {kabrydekpu}), plenservkulero (= {mucydekpu}); plentekulero (= {mucyseldekpu}); (ĉiuj tiuj lujvo povas bezoni je gic- por distingi la angla mezursistemo kontraste al alia loka sistemo; alie la anglan sistemon oni supozas defaŭlte la ne-metra sistemo).  (pliajn subunuajn lokojn oni povas aldoni kiel x_5, x_6, ...); Vidu ankaŭ {canlu}, {litce}, {rupnu}, {fepni}, {gutci}, {minli}, {merli}, {bunda}, {kramu}.
dekto	gismu   \n-dek-      \nx_1 estas deko [10; 1 10  1] da x_2 laŭ dimensio/aspekto x_3 (defaŭlte unuoj)\n(kp. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi,petso,picti, terto, xatsi, xecto, xexso, zepti, zetro)
delno	gismu   \n-del-   \n-de'o-      \nx_1 estas x_2 kandelaoj [metra unuo] en lumeco (defaŭlte 1) laŭ normo x_3\nVidu ankaŭ {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
dembi	gismu   \n-deb-      \nx_1 estas fabo/pizo/legoma semo el planto [legomo] x_2\nVidu ankaŭ {grute}, {sobde}, {tsiju}.
denci	gismu   \n-den-   \n-de'i-      \nx_1 estas dento [korpoparto] de x_2; (adjektivo:) x_1 estas denta\n(metafore: vidu je dakfu, pagre, jgalu); Vidu ankaŭ {moklu}, {dakfu}, {pagre}, {jgalu}, {batci}, {bongu}.
denmi	gismu   \n-dem-      \nx_1 estas densa/koncentrita/pakita/intensa en eco x_2 (ka) je loko x_3\nVidu ankaŭ {carmi}, {midju}, {viknu}.
denpa	gismu   \n-dep-   \n-de'a-      \nx_1 atendas/paŭzas ĝis x_2 en stato x_3 antaŭ ol komenci/rekomenci x_4-on (ago/procedo)\n(x_2 estas okazo, ĝenerale punkta okazo); ankaŭ: repreni x_4-on.  Vidu ankaŭ {dicra}, {fanmo}, {sisti}, {fliba}, {pandi}.
dertu	gismu   \n-der-   \n-de'u-      \nx_1 estas kvanto da/enhavas/konsistas el grundo/tero el fonto x_2 de konsisto x_3\nAnkaŭ: x_1 estas grunda/tera; x_3: konsisto inkluzivanta x_3-on.  Vidu ankaŭ {kliti}, {terdi}, {loldi}.
derxi	gismu   \n-dre-      \nx_1 estas amaso/stako/monto de materialo x_2 en loko x_3\nVidu ankaŭ {cmana}.
desku	gismu   \n-des-      \nx_1 tremas/skuiĝas/vibras/ŝanceliĝas pro forto x_2; x_2 skuas x_1-on\nAnkaŭ: (esprimebla per desku aŭ slilu): tien kaj reen.  Vidu ankaŭ {slilu}, {janbe}.
detri	gismu   \n-det-      \nx_1 estas la dato [tago,{semajno},{monato},jaro] de okazo/stato x_2, en loko x_3, laŭ kalendaro x_4\n(tempunuojn en x_1 oni specifas kiel nombroj apartigitaj per pi'e); Vidu ankaŭ cmavo {de'i}, {djedi}, {jeftu}, {masti}, {nanca}, {tcika}.
dicra	gismu   \n-dir-      \nx_1 (okazo) interrompas/ĉesigas/haltigas/[disrompas] x_2-on (objekto/okazo/procedo) pro kvalito x_3\nAnkaŭ: perturbi (unu senco).  Vidu ankaŭ {zunti}, {fanza}, {raktu}, {denpa}.
dikca	gismu   \n-dic-      \nx_1 estas elektro [elektra ŝargo aŭ kurento] en/sur x_2 de signo/kvanto x_3 (def. negativa)\n(x_3, kvantigilon, oni povas esprimi kiel simpla polareco per la ciferoj por pozitiva kaj negativa ma'u kaj ni'u); (eksplicite) negativa (= {dutydikca}), pozitiva (= {mardikca}); kurento (= (sel)muvdikca; denove defaŭlte negativa/elektrona kurento), ŝargo (= {klodikca}, {stadikca}).  Vidu ankaŭ {lindi}, {xampo}, {flecu}, {maksi}, {tcana}.
diklo	gismu   \n-klo-      \nx_1 estas loka al x_2; x_1 estas limigita al loko x_2 ene de amplekso x_3\nIndikas specifan lokon/valoron ene de amplekso; ekz. a batas b-on. Kiu estas la loko sur b, kiun a batas? Do x_1 rilatas al specifa malvasta regiono/intervalo x_2 en amplekso x_3.  Vidu ankaŭ cmavo {di'o}, {jibni}, {zvati}, {cpana}, {nenri}, {lamji}, {stuzi}, {tcila}.
dikni	gismu   \n-dik-      \nx_1 estas regula/cikla/perioda en eco (ka)/ago x_2 kun periodo/intervalo x_3\nAnkaŭ: unuforma; resonanta (= {dikslicai}).  Vidu ankaŭ {slilu}, {rilti}, {xutla}, {manfo}, {boxna}.
dilcu	gismu      \nx_1 estas kvociento de 'x_2/x_3' [dividato x_2 dividita per dividanto x_3], kun restaĵo x_4\nVidu ankaŭ {frinu}, {fendi}, {katna}, {parbi}, {mekso}.
dilnu	gismu   \n-dil-      \nx_1 estas nubo/nubaro el materialo x_2 en aero x_3 super grundo/bazo x_4\nVidu ankaŭ {carvi}, {tcima}.
dimna	gismu   \n-dim-      \nx_1 estas sorto/destino de x_2; [fatalo, kondamno estas mabla-formoj]\nDestinita/kondamnita (= {seldimna}).  Vidu ankaŭ {dapma}.
dinju	gismu   \n-dij-   \n-di'u-      \nx_1 estas konstruaĵo/edifico por celo x_2\nVidu ankaŭ {ginka}, {zdani}, {zarci}.
dinko	gismu   \n-di'o-      \nx_1 estas najlo [pinta pelita/frikcia fiksilo] de tipo/grando x_2 (ka), el materialo x_3\n(x_2 povas esti ankaŭ abstraktaĵo ni); Vidu ankaŭ {pijne}, {lasna}.
dirba	gismu   \n-dib-      \nx_1 estas kara al x_2; x_1 estas emocie valorigita de x_2\nx_1 povas esti specifa objekto, varo (kolektivaĵo), okazo, aŭ eco; pedante, por objektoj/varoj, ĉi tio estas sumti-levado el posedo de la objekto/varo (= posydirba por neambigua {semantiko}).  Vidu ankaŭ {tcika}, {kargu}, {vamji}, {vajni}, {pleji}, {jadni}, {jemna}.
dirce	gismu   \n-di'e-      \nx_1 radias/eligas x_2-on sub kondiĉoj x_3\nVidu ankaŭ {gusni}.
dirgo	gismu   \n-dig-      \nx_1 estas guto [malgranda, kohera formo] el materialo [likvo/vaporo] x_2 en ĉirkaŭa materialo x_3\nVidu ankaŭ {daplu}, {bidju}.
dizlo	gismu   \n-diz-   \n-dzi-      \nx_1 estas malalta/malsupra/malsuprena en referenckadro x_2 kompare kun bazo/norma alto x_3\nAnkaŭ: pli malalta; x_3 estas ĝenerale iu difinita distanco super baznivelo, aŭ estas tiu baznivelo mem.  Vidu ankaŭ {cnita}, {galtu}, {gapru}, {farna}, {loldi}.
djacu	gismu   \n-jac-   \n-jau-      \nx_1 estas konsistas el/enhavas/estas kvanto/etendo de akvo; (adjektivo:) x_1 estas akva\nAkvouza (= {jaupli}).  Vidu ankaŭ {lalxu}, {rirxe}, {xamsi}, {limna}, {litki}, {lumci}, {bumru}, {jinto}.
djedi	gismu   \n-dje-   \n-dei-      \nx_1 daŭras x_2 tagnoktojn (defaŭlte 1 tagnokto) laŭ normo x_3; (adjektivo:) x_1 estas tagnokta\nHodiaŭ (= {cabdei}); morgaŭ (= {bavlamdei}); hieraŭ (= {prulamdei}).  Vidu ankaŭ {donri}, {detri}, {jeftu}, {masti}, {nanca}, {nicte}, {tcika}.
djica	gismu   \n-dji-      \nx_1 deziras/volas x_2-on (okazo/stato) por celo x_3\nSe deziro estas por objekto, ĉi tio estas sumti-levado; uzu tu'a en x_2 (aŭ uzu lujvo = po'edji).  Vidu ankaŭ {taske}, {xagji}, {mukti}, {nitcu}, {nelci}, {pacna}, {prami}, {rigni}, {trina}, {xebni}, {xlura}.
djine	gismu   \n-jin-      \nx_1 estas ringo/toruso/cirklo [formo] el materialo x_2, ena diametro x_3, ekstera diametro x_4\nAnkaŭ: elipso, ovalo (= {jincla}); (uzita por preskaŭcirkloj, kiel densa spiralo, eĉ se ne fermita kurbo).  Ankaŭ: band, belt, encircle (= {jinsru}).  Vidu ankaŭ {clupa}, {cukla}, {dasri}, {karli}, {sovda}, {sruri}, {konju}.
djuno	gismu   \n-jun-   \n-ju'o-      \nx_1 scias fakton x_2 (du'u) pri temo x_3 laŭ epistemologio x_4\nVortoj uzeblaj por epistemologio tipe havas du'u-argumenton; scipovi - implicante konon de metodo sed ne nepre kapabli praktiki (= {tadjyju'o}). (kp. koni/familiara kun: se slabu, na'e cnino, na'e fange; cmavo du'o, cilre, certu, facki, jijnu, jimpe, senpi, smadi, kakne, birti, mipri, morji, saske, viska)
do	cmavo   \n-don-   \n-doi-      \npro-sumti: vi la alparolato(j); identigita(j) per vokativo
donri	gismu   \n-dor-   \n-do'i-      \nx_1 estas tago/sunluma tempo de tago x_2 en loko x_3; (adjektivo:) x_1 estas taga (nenokta)\nVidu ankaŭ {nicte}, {djedi}, {tcika}.
dotco	gismu   \n-dot-   \n-do'o-      \nx_1 montras germanan/ĝermanan kulturon/naciecon/lingvon laŭ aspekto x_2\nVidu ankaŭ {ropno}.
draci	gismu      \nx_1 estas dramo/teatraĵo pri x_2 [intrigo/temo] de aŭtoro x_3 por publiko x_4 kun aktoroj x_5\nx_2 ankaŭ povas esti konvencio. Vidu ankaŭ {finti}, {cukta}, {lisri}, {cfika}.
drani	gismu   \n-dra-      \nx_1 estas ĝusta/korekta/perfekta en eco/aspekto x_2 (ka) en situacio x_3 laŭ normo x_4\nVidu ankaŭ {srera}, {mapti}.
drata	gismu   \n-dat-      \nx_1 estas alia ol/malsama al x_2 laŭ normo x_3; x_1 estas io alia\nVidu ankaŭ {mintu}, {frica}.
drudi	gismu   \n-rud-   \n-dru-      \nx_1 estas tegmento/supro/plafono/kovrilo de x_2\n(kp. bitmu, stedu, galtu, gapru, loldi, marbi, gacri, mapku; drudi estas super io kaj ŝirmas ĝin de aĵoj super la drudi, mapku)
du	cmavo   \n-dub-   \n-du'o-      \nidentec-selbri; signo =; x_1 idente egalas/estas x_2, x_3, ktp.; ĉiu sumti nomas la saman aĵon\nEstas tre malloĵbaneca traduki la ĝeneralan 'esti' per ĉi tiu vorto.  Vidu ankaŭ {mintu}.
dugri	gismu   \n-dug-      \nx_1 estas la logaritmo de x_2 en bazo x_3\nVidu ankaŭ {tenfa}.
dukse	gismu   \n-dus-   \n-du'e-      \nx_1 estas tro/eksceso da x_2 laŭ normo x_3\nSupersatigo (= {maldu'e}, {tolpu'adu'e}).  Vidu ankaŭ {bancu}, {banzu}, {ricfu}, {zmadu}.
dukti	gismu   \n-dut-      \nx_1 estas malo de/kontraŭo al x_2 en eco/laŭ skalo x_3 (eco/si'o)\nVidu ankaŭ {ranxi}, {ragve}, {fatne}.
dunda	gismu   \n-dud-   \n-du'a-      \nx_1 [donanto] donas/donacas donitaĵon x_2 al ricevanto/profitanto x_3 [sen pago/interŝanĝo]\nx_3 ricevas x_2-on de x_1 (= terdu'a por reordigitaj {lokoj}); la loĵbana versio ne distingas aŭ implicas transigon de posedo aŭ dividon; x_2 povas esti specifa objekto, varo (kolektivaĵo), okazo, aŭ eco; pedante, por objektoj/varoj, ĉi tio estas sumti-levado el posedo de la objekto/varo (= {posydu'a}, posyseldu'a por neambigua {semantiko}).  Vidu ankaŭ {benji}, {muvdu}, {canja}, {pleji}, {vecnu}, {friti}, {sfasa}, {dapma}, {cnemu}, {prali}.
dunja	gismu   \n-duj-      \nx_1 frostiĝas/ĝeliĝas/solidiĝas je temperaturo x_2 kaj premo x_3\nVidu ankaŭ {febvi}, {lunsa}, {runme}, {sligu}.
dunku	gismu   \n-duk-   \n-du'u-      \nx_1 angoras/sentas ĉagrenon/emocian premon pro x_2\nVidu ankaŭ {fengu}, {surla}.
dunli	gismu   \n-dun-   \n-du'i-      \nx_1 estas egala al/kongrua kun/tiom kiel x_2 en eco/dimensio/kvanto x_3\nSama en kvanto/kvalito (ne nepre en identeco); 'analogion' oni povas esprimi kiel la ekvivalenco de du similecoj (ka x_1 simsa x_2) kaj (ka x_3 simsa x_4).  Vidu ankaŭ cmavo {du'i}, {satci}, {frica}, {simsa}, {mintu}.
dunra	gismu   \n-dur-      \nx_1 estas vintro [malvarma sezono] de jaro x_2 en loko x_3\nVidu ankaŭ {citsi}, {crisa}, {critu}, {vensa}.
du'u	cmavo   \n-dum-      \nabstraktilo de predikato/bridi: x_1 estas predikato [bridi] esprimita en frazo x_2\nVidu ankaŭ {mintu}, {dunli}.
dzena	gismu   \n-dze-      \nx_1 estas praulo de x_2 laŭ ligilo/grado x_3; la generacio de x_1 antaŭas tiun de la gepatroj de x_2\nVidu ankaŭ {patfu}, {rirni}, {tamne}.
dzipo	gismu   \n-zip-   \n-zi'o-      \nx_1 montras antarktikan kulturon/naciecon/geografion laŭ aspekto x_2\nVidu ankaŭ {ketco}, {friko}, {sralo}, {terdi}.
fa'a	cmavo   \nFAhA4      \nal, laŭ la direkto de
facki	gismu   \n-fak-   \n-fa'i-      \nx_1 ekscias/malkovras/eltrovas fakton x_2 (du'u) pri temo/objekto x_3\nx_1 trovas (fi) x_3-on (objekto) Vidu ankaŭ {cirko}, {djuno}, {jijnu}, {smadi}, {sisku}.
fadni	gismu   \n-fad-      \nx_1 [membro] estas ordinara/tipa/kutima en eco x_2 (ka) inter membroj de x_3 (aro)\nAnkaŭ: x_2 estas normala/kutima/ordinara/tipa eco inter aro x_3 (= selterfadni por reordigitaj {lokoj}); (formoj kun mabla:) banala, triviala, vulgara; (x_3 estas kompleta aro).  Vidu ankaŭ {cafne}, {rirci}, {kampu}, {lakne}, {tcaci}, {cnano}.
fagri	gismu   \n-fag-      \nx_1 estas fajro/flamo en x_2 brulanta-en/reakcianta-kun oksidiganto x_3 (defaŭlte aero/oksigeno)\nVidu ankaŭ {jelca}, {sacki}.
falnu	gismu   \n-fan-      \nx_1 estas velo por kapti pelantan materialon x_2 ĉe veturilo/motoro x_3\nAkvorado (= {jacfanxi'u}).  Vidu ankaŭ {bloti}.
famti	gismu      \nx_1 estas onkl(in)o de x_2 laŭ rilato/ligilo x_3; x_1 estas parenco de x_2 de la gepatra generacio\nVidu ankaŭ {bruna}, {mamta}, {mensi}, {patfu}, {rirni}, {tamne}.
fancu	gismu      \nx_1 estas funkcio/pounua mapo de domajno x_2 al rango x_3 difinita de esprimo/regulo x_4\nVidu ankaŭ {mekso}, {bridi}.
fange	gismu      \nx_1 estas fremda/[alilanda]/[ekzota]/malbone konata al x_2 en eco x_3 (ka)\nVidu ankaŭ {cizra}, {jbena}, {ckini}.
fanmo	gismu   \n-fam-   \n-fa'o-      \nx_1 estas fino/finaĵo de aĵo/procedo x_2; [ne nepre implicas kompleteco]\nx_1 estas fina/lasta; x_1 estas finaĵo/finstacio de x_2; x_1 estas la fino/fina stato de finita procedo x_2; x_2 finiĝas/ĉesiĝas/haltas je x_1 (= selfa'o por reordigitaj {lokoj}).  Vidu ankaŭ {krasi}, {cfari}, {mulno}, {sisti}, {denpa}, {jipno}, {kojna}, {traji}, {krasi}.
fanri	gismu      \nx_1 estas uzino/fabriko/muelejo produktanta x_2-on el materialoj x_3\nVidu ankaŭ {molki}, {gundi}.
fanta	gismu      \nx_1 malhelpas/malebligas/evitigas okazon x_2\nVidu ankaŭ {pinfu}, {bandu}, {zunti}, {rinju}, {jimte}, {bapli}, {rivbi}.
fanva	gismu      \nx_1 tradukas tekston/elparolaĵon x_2 en lingvo x_3 el lingvo x_4 kun traduka rezulto x_5\nVidu ankaŭ {cusku}, {bangu}.
fanza	gismu   \n-faz-      \nx_1 (okazo) ĝenas/ĉagrenas/agacas x_2-on\nVidu ankaŭ {fengu}, {raktu}, {dicra}, {tunta}, {zunti}, {jicla}.
fapro	gismu   \n-fap-   \n-pro-      \nx_1 kontraŭas/oponas/opozicias/ekvilibrigas kontraŭanton x_2 (homo/forto) pri x_3 (abstraktaĵo)\nAnkaŭ: kontraŭstari, batali, rezisti.  Vidu ankaŭ {bandu}, {bradi}, {darlu}, {damba}, {jivna}, {lanxe}, {rivbi}, {sarji}, {xarnu}.
farlu	gismu   \n-fal-   \n-fa'u-      \nx_1 falas al x_2 el/de x_3 en gravita puto/referenckadro x_4\nRimarku: io povas fali en turnado, puŝado, aŭ tajdo krom en gravito; (faligi = falcru, falri'a). Vidu ankaŭ {lafti}, {cpare}, {klama}, {sfubu}.
farna	gismu   \n-far-   \n-fa'a-      \nx_1 estas la direkto de x_2 (objekto/okazo) de/en referenckadro x_3\nx_2 estas direkte al x_1 de x_3 (= selfa'a por reordigitaj {lokoj}).  Vidu ankaŭ {zunle}, {pritu}, {galtu}, {gapru}, {cnita}, {dizlo}, {berti}, {snanu}, {stuna}, {stici}, {purci}, {balvi}, {lidne}.
farvi	gismu   \n-fav-      \nx_1 evoluas al x_2 el/de x_3 tra etapoj x_4\nVidu ankaŭ {pruce}, {banro}, {makcu}, {ciste}, {cupra}, {ferti}.
fasnu	gismu   \n-fau-      \nx_1 (okazo) okazas/estiĝas; x_1 estas incidento/okazaĵo\n(kp. cmavo fau, krefu, lifri, fatci, rapli; gasnu, zukte, se specife agenta, banli)
fatci	gismu   \n-fac-      \nx_1 (du'u) estas fakto/realo/vero/efektivaĵo, absolute\nVidu ankaŭ {datni}, {jitfa}, {sucta}, {xanri}, {jetnu}, {fasnu}, {zasti}, {cfika}, {saske}.
fatne	gismu   \n-fat-   \n-fa'e-      \nx_1 [sinsekvo] estas en inversa/mala/kontraŭa vico al x_2 [sinsekvo]\nx_1 (objekto) estas inversigita/renversita de x_2 (objekto). Vidu ankaŭ cmavo {fa'e}, {dukti}.
fatri	gismu   \n-fai-      \nx_1 estas distribuita/disdonita/disdividita inter x_2 kun partoj/porcioj x_3; (x_2/x_3 fa'u)\nAnkaŭ: ŝmiriĝi, porciiĝi, dispartigiĝi, asigniĝi; distribui (= {fairgau}, {fairzu'e}).  Vidu ankaŭ cmavo {fa'u}, {fendi}, {preja}, {katna}, {tcana}.
fau'u	experimental cmavo   \nCOI      \nPardonon!/Pardonu min!/Mi pardonpetas!\nvd. {fraxu}, {u'u}.
febvi	gismu   \n-feb-      \nx_1 bolas/vaporiĝas je temperaturo x_2 kaj premo x_3\nVidu ankaŭ {dunja}, {lunsa}, {runme}.
femti	gismu   \n-fem-      \nx_1 estas milbilionono [1x_10**-15] de x_2 laŭ dimensio/aspekto x_3 (defaŭlte unuoj)\n(kp. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto,xatsi,xecto,xexso,zepti, zetro)
fendi	gismu   \n-fed-      \nx_1 (aganto) dividas/apartigas x_2-on en partoj/sekcioj x_3 per metodo/vando x_4\nAnkaŭ: segmentoj.  Vidu ankaŭ {sepli}, {bitmu}, {fatri}, {dilcu}, {katna}, {frinu}.
fengu	gismu   \n-feg-   \n-fe'u-      \nx_1 estas kolera/furioza kontraŭ x_2 pro x_3 (ago/stato/eco)\nVidu ankaŭ {fanza}, {dunku}.
fenki	gismu   \n-fek-      \nx_1 (ago/okazo) estas freneza laŭ normo x_2\nVidu ankaŭ {bebna}, {racli}, {xajmi}.
fenra	gismu   \n-fer-   \n-fe'a-      \nx_1 estas fendo/ravino/abismo/[difekto] [formo] en x_2\nVidu ankaŭ {kevna}, {cfila}, {jinto}.
fenso	gismu   \n-fen-   \n-fe'o-      \nx_1 kudras/stebas/suturas materialojn x_2 (ind./set) kunaj per ilo(j) x_3, per filamento x_4\n(x_2 se aro devas esti kompleta specifado); Vidu ankaŭ {cilta}, {jivbu}, {jorne}, {nivji}, {pijne}, {lasna}.
fepni	gismu   \n-fep-   \n-fei-      \nx_1 kostas/valoras x_2 [kvanto] cendojn/kopekojn/groŝojn/monsubunuojn, en monsistemo x_3\nAnkaŭ: pfenigo, centimo, centavo, soldo, ktp.; x_1 ĝenerale estas prezo/kosto/valoro.  (pliajn subunuajn lokojn oni povas aldoni kiel x_4, x_5, x_6, ...); Vidu ankaŭ {sicni}, {jdini}, {jdima}, {vecnu}, {rupnu}, {dekpu}, {gutci}, {minli}, {merli}, {bunda}, {kramu}.
fepri	gismu      \nx_1 estas pulmo [korpoparto] de x_2; [metafore: spira aparato/blovilo]\n(kp. pambe, vaŝu)
ferti	gismu   \n-fre-      \nx_1 estas fekunda/produkta/fruktodona/favora al subteno de kresko/evoluo de x_2\n(potenciala aŭ efektiva fekundeco).  Vidu ankaŭ {vanbi}, {sidju}, {rorci}, {farvi}, {banro}, {cange}.
festi	gismu   \n-fes-      \nx_1 estas rubo/forĵetaĵo de x_2 (okazo/ago)\nForĵeti (= {fesygau}, {fesyzu'e}).  Vidu ankaŭ {xaksu}, {kalci}, {pinca}.
fetsi	gismu   \n-fet-   \n-fe'i-      \nx_1 estas ino/femelo de speco x_2 montranta inajn trajtojn x_3 (ka); x_1 estas ineca\nVidu ankaŭ {nakni}.
figre	gismu   \n-fig-      \nx_1 estas figo [frukto/arbo] de speco/raso x_2\nVidu ankaŭ {grute}.
filso	gismu   \n-fis-      \nx_1 montras palestinan kulturon/naciecon laŭ aspekto x_2\nVidu ankaŭ {jordo}, {xebro}.
finpe	gismu   \n-fip-   \n-fi'e-      \nx_1 estas fiŝo de speco x_2 [metafora etendo al ŝarkoj, nefiŝaj akvaj vertebruloj]\nVidu ankaŭ {danlu}.
finti	gismu   \n-fin-   \n-fi'i-      \nx_1 verkas/elpensas/inventas/kreas x_2-on por funkcio/celo x_3 el ekzistantaj elementoj/ideoj x_4\nAnkaŭ: komponi, aŭtori; x_1 estas kreema/inventema.  (kp. cmavo fi'e, ciska, pemci, zbasu, larcu, specifa verko de aŭtoro, prosa, skina)
flalu	gismu   \n-fla-      \nx_1 estas leĝo preciziganta x_2-on por komunumo x_3 sub kondiĉoj x_4 fare de leĝdonanto(j) x_5\nx_2 estas laŭleĝa (= selfla por reordigitaj {lokoj}).  Vidu ankaŭ {javni}, {ritli}, {zekri}, {pulji}, {tinbe}.
flani	gismu      \nx_1 estas fluto/ŝalmo/fifro/hobojo [fluteca/anĉa muzikinstrumento]\nVidu ankaŭ {zgike}.
